HR,H,ER,S,ERA,BAVG,L,SvO,BB,Player
4,28,13,0,3.73,0.241,0,2,13,Luke Gregerson
3,21,10,0,4.43,0.276,2,0,5,Joe Savery
8,83,56,0,6.07,0.256,8,0,45,Tim Lincecum
13,90,45,0,5.15,0.288,7,0,31,J.A. Happ
2,38,13,0,2.76,0.25,0,0,26,Josh Roenicke
1,10,2,3,0.93,0.149,1,3,5,Sergio Romo
12,99,35,0,3.29,0.265,5,0,22,Wandy Rodriguez
3,35,14,1,3.9,0.278,4,3,11,Francisco Rodriguez
6,35,29,0,11.86,0.361,2,1,15,Manny Acosta
0,7,4,0,6.35,0.28,0,0,4,Michael Stutes
6,62,34,0,4.12,0.23,7,0,37,Randall Delgado
0,24,6,0,3.06,0.32,1,0,5,Chris Young
3,24,19,0,8.41,0.293,3,0,9,Josh Outman
4,31,17,0,6.2,0.31,1,0,10,Guillermo Moscoso
0,9,6,0,9.0,0.346,0,0,2,Enerio Del Rosario
12,92,39,0,3.82,0.263,8,0,13,Mark Buehrle
2,15,6,0,2.42,0.188,1,1,11,Antonio Bastardo
2,6,4,0,5.14,0.231,1,0,8,Juan Perez
0,14,8,0,8.64,0.4,0,0,2,Dan Otero
10,92,48,0,5.16,0.283,6,0,24,Ricky Nolasco
1,24,11,1,3.62,0.235,3,2,19,Clay Hensley
1,5,3,0,4.5,0.25,0,0,5,Carlos Torres
0,3,1,0,1.8,0.188,0,0,4,Brad Boxberger
2,25,12,0,4.7,0.281,2,0,15,Drew Pomeranz
15,85,46,0,6.68,0.326,6,0,23,Jeremy Guthrie
5,70,33,0,4.13,0.254,7,0,32,Erik Bedard
2,14,6,8,1.57,0.119,3,11,11,Aroldis Chapman
4,35,16,0,4.08,0.267,1,0,22,Miguel Batista
12,99,43,0,3.95,0.259,7,0,27,Clayton Richard
9,91,31,0,3.44,0.283,5,0,21,Joe Saunders
0,3,1,0,9.0,0.6,0,0,0,Wily Peralta
1,25,11,0,4.13,0.272,2,4,15,Rex Brothers
0,5,0,0,0.0,0.227,0,0,3,Michael Gonzalez
12,74,34,0,4.12,0.261,6,0,22,Kevin Correia
2,2,2,0,3.0,0.105,0,0,2,Aneury Rodriguez
3,15,6,1,1.95,0.155,2,2,15,Jason Grilli
6,65,23,0,2.46,0.214,1,0,22,Stephen Strasburg
11,95,41,0,4.13,0.271,7,0,20,Ian Kennedy
4,34,18,0,5.28,0.281,3,0,13,Jeff Suppan
4,96,39,0,4.18,0.296,5,0,27,Josh Johnson
1,25,8,1,2.77,0.248,1,2,8,Jeremy Affeldt
1,28,9,0,2.61,0.233,1,0,8,Cory Luebke
13,75,34,0,3.75,0.241,3,0,29,Jonathon Niese
3,24,11,0,3.49,0.235,2,0,12,Sam LeCure
4,15,7,18,2.33,0.16,0,20,13,Joel Hanrahan
5,26,14,0,4.55,0.245,4,0,9,Joe Wieland
1,13,9,0,7.59,0.295,0,0,3,Evan Meek
8,90,30,0,2.85,0.25,2,0,15,Kyle Lohse
8,96,46,0,5.11,0.298,5,0,31,Randy Wolf
2,21,16,4,5.68,0.236,4,6,17,Rafael Dolis
5,22,13,0,4.74,0.244,1,0,18,Brad Brach
0,8,3,0,4.5,0.32,1,0,2,Eric Hacker
6,49,18,0,2.0,0.171,5,0,29,Brandon Beachy
5,71,27,0,2.8,0.223,3,0,29,Lance Lynn
1,3,2,0,6.0,0.25,0,0,2,Robert Carson
5,33,18,0,6.75,0.333,2,0,11,Jair Jurrjens
8,89,47,0,4.77,0.261,6,0,31,Lucas Harrell
1,13,8,0,5.27,0.255,0,0,3,Jose Contreras
3,22,9,2,3.0,0.224,1,3,13,Logan Ondrusek
7,31,20,0,7.3,0.304,3,0,15,Jhoulys Chacin
8,55,32,0,6.6,0.313,1,0,12,Daniel Hudson
1,28,15,0,4.4,0.241,2,0,15,Jamey Wright
7,73,40,0,4.11,0.229,7,0,51,Edinson Volquez
0,16,11,0,8.49,0.314,0,1,10,Mike Dunn
6,35,13,0,4.18,0.299,1,5,7,Chad Qualls
4,29,14,0,6.1,0.349,3,0,14,Chien-Ming Wang
2,27,10,0,3.46,0.265,2,0,4,Michael Fiers
2,12,7,0,4.3,0.214,1,1,10,Alex Hinshaw
10,73,39,0,4.88,0.267,5,0,22,Paul Maholm
0,26,8,0,2.48,0.255,1,2,10,Brad Ziegler
1,35,17,0,4.68,0.269,1,1,13,Manny Parra
4,62,22,0,2.19,0.195,3,0,24,James McDonald
1,11,5,1,5.63,0.333,0,1,1,Tyler Chatwood
2,27,13,1,4.28,0.252,6,4,5,Jon Rauch
2,11,8,0,5.14,0.224,1,1,8,Michael Schwimer
16,86,46,0,5.2,0.274,2,0,26,Mat Latos
0,2,1,0,3.86,0.222,0,0,3,Shawn Tolleson
7,24,11,0,2.91,0.205,1,2,12,Josh Lindblom
3,70,21,0,2.3,0.225,3,0,17,Wade Miley
2,6,6,0,8.53,0.231,1,0,3,Edgmer Escalona
6,31,12,0,3.72,0.282,0,0,8,Matt Reynolds
5,24,12,0,3.77,0.229,0,0,14,Chad Durbin
1,9,3,0,1.21,0.125,0,1,12,Ronald Belisario
3,36,17,0,3.14,0.203,1,0,19,Ted Lilly
2,24,8,0,2.3,0.214,1,2,9,Mitchell Boggs
4,80,35,0,3.47,0.245,5,0,34,Trevor Cahill
7,72,34,0,5.28,0.313,3,0,22,Juan Nicasio
1,8,8,0,8.31,0.267,2,2,11,Kerry Wood
0,2,0,0,0.0,0.5,0,0,0,Jonathan Albaladejo
2,20,9,11,3.16,0.211,3,14,7,Rafael Betancourt
6,66,37,0,4.01,0.224,5,0,42,Carlos Zambrano
2,23,6,0,3.52,0.343,0,0,2,Joe Kelly
10,72,36,0,6.08,0.333,6,0,22,Jason Marquis
0,8,3,9,1.69,0.145,0,9,5,Huston Street
1,16,3,2,1.08,0.182,0,2,6,Sean Burnett
3,16,5,0,3.14,0.286,0,0,2,Shane Loux
11,78,39,0,4.35,0.253,5,0,36,Barry Zito
6,80,34,0,3.76,0.256,4,0,37,Aaron Harang
0,4,0,0,0.0,0.25,0,0,3,Blake Parker
8,80,44,0,4.7,0.251,7,0,33,Anthony Bass
4,28,15,2,4.22,0.23,3,5,8,Edward Mujica
3,24,13,5,6.16,0.32,2,6,4,Dale Thayer
1,20,8,0,4.7,0.317,1,0,6,Steve Edlefsen
3,51,34,0,7.46,0.302,6,0,15,Chris Volstad
0,4,1,0,1.8,0.211,0,0,4,Dallas Keuchel
8,58,33,0,6.06,0.293,5,0,18,Alex White
1,7,3,0,2.13,0.163,0,1,1,Raul Valdes
6,66,27,0,3.24,0.235,2,0,27,A.J. Burnett
6,48,25,0,5.04,0.271,4,0,16,Jordan Lyles
4,37,17,1,4.41,0.274,1,1,7,Cristhian Martinez
2,9,5,0,11.25,0.429,1,0,2,Brian Sanches
15,99,40,0,4.19,0.29,5,0,14,Bronson Arroyo
1,8,7,0,4.61,0.17,1,0,10,Eduardo Sanchez
11,64,35,0,4.07,0.223,5,0,22,Matt Garza
2,15,11,0,37.13,0.652,0,0,3,Joe Paterson
2,28,9,9,2.83,0.246,3,10,6,Sean Marshall
0,4,4,0,8.31,0.235,0,0,1,Julio Teheran
2,13,6,0,5.06,0.31,1,0,4,Guillermo Mota
2,23,9,0,4.76,0.324,1,1,6,Casey Coleman
14,82,34,0,3.54,0.253,4,0,35,Tommy Hanson
2,16,11,0,5.3,0.222,1,0,9,Kyle McClellan
10,76,39,0,4.81,0.263,4,0,28,Bud Norris
1,10,6,0,7.04,0.323,1,0,4,Lendy Castillo
1,30,13,1,3.9,0.252,2,2,19,Jose Veras
1,38,9,0,2.13,0.25,2,3,6,Matt Belisle
7,33,19,0,4.14,0.224,3,0,19,Travis Wood
8,83,31,0,2.92,0.231,4,0,19,Madison Bumgarner
8,80,39,0,3.94,0.242,6,0,28,Anibal Sanchez
0,26,9,8,3.38,0.289,3,11,10,Javy Guerra
4,29,11,0,3.16,0.246,2,2,9,Kameron Loe
3,18,7,0,3.2,0.25,0,2,7,Adam Ottavino
4,38,16,0,5.4,0.336,2,1,13,David Carpenter
10,70,31,0,3.39,0.227,3,0,26,Shaun Marcum
0,1,0,0,0.0,0.333,0,0,0,Zach Putnam
2,4,4,0,13.5,0.333,0,0,3,Chris Hatcher
2,15,12,4,5.49,0.2,2,6,23,Carlos Marmol
1,4,7,0,8.59,0.154,1,0,5,Scott Maine
4,7,5,0,8.44,0.333,0,0,0,Tyler Thornburg
1,4,1,0,1.8,0.211,0,0,3,Dan Jennings
1,5,5,0,9.0,0.263,0,0,2,Dustin Moseley
3,26,16,13,5.08,0.23,4,17,18,John Axford
1,31,12,1,3.34,0.261,1,2,8,Kris Medlen
2,32,16,0,5.84,0.302,3,0,2,Jeremy Hefner
8,66,29,0,3.02,0.213,4,0,25,Edwin Jackson
0,8,6,0,18.0,0.471,0,0,0,Sandy Rosario
1,8,3,0,2.79,0.229,2,0,5,Micah Owings
9,73,30,0,3.48,0.253,3,0,14,Cliff Lee
5,40,17,1,4.94,0.331,1,1,8,Livan Hernandez
12,88,42,0,4.22,0.257,5,0,38,Yovani Gallardo
12,87,43,0,4.27,0.25,5,0,25,Dillon Gee
5,30,19,0,7.33,0.316,0,1,11,Rhiner Cruz
10,67,26,0,2.71,0.217,2,0,31,Chris Capuano
0,17,10,0,10.0,0.386,0,0,4,Vinnie Chulk
2,12,9,0,10.13,0.364,0,0,2,Ryan Perry
4,28,11,0,3.19,0.25,2,0,11,Eric Stults
