RBI,SO,POS,OBP,AB,SH,SLG,SB,Team,GIDP
10,24,LF,.372,115,3,.330,4,CUB,3
4,1,SS,.400,9,0,.667,0,DIA,0
33,42,1B,.374,212,0,.434,7,RAN,3
21,19,C,.333,113,0,.460,0,ROY,2
12,10,LF,.303,60,0,.483,3,ATH,0
17,22,C,.375,113,0,.469,1,ATH,3
16,8,C,.391,85,0,.435,4,RED,5
11,45,LF,.325,131,0,.252,6,RAN,3
13,9,CF,.383,111,2,.315,5,ATH,0
15,29,SS,.377,141,0,.383,15,RED,3
22,15,SS,.405,101,1,.554,2,ATH,3
30,43,3B,.266,193,1,.311,5,RED,5
4,5,RF,.077,12,0,.167,0,GIA,0
16,24,SS,.320,156,4,.314,13,RED,2
5,47,1B,.167,80,0,.150,1,GIA,0
6,8,C,.314,33,0,.394,1,GIA,0
0,0,P,--,0,0,--,0,MAR,0
27,50,LF,.375,201,0,.448,15,RAN,1
1,13,LF,.231,34,1,.118,3,ROY,0
32,37,LF,.381,154,0,.494,6,IND,2
3,5,C,.286,19,0,.263,1,ATH,1
20,36,CF,.401,143,0,.434,16,ATH,2
5,2,OF,.556,17,0,.824,1,MAR,0
1,2,SS,.364,10,0,.500,0,GIA,0
17,43,RF,.291,135,0,.378,2,ATH,3
0,0,P,--,0,0,--,0,MAR,0
6,19,2B,.242,61,0,.246,5,ANG,0
0,6,C,.360,22,0,.364,1,RED,0
20,35,SS,.406,116,1,.500,20,DIA,3
1,3,2B,.333,10,0,.200,1,MAR,0
8,16,OF,.355,55,0,.455,4,CUB,0
17,16,1B,.375,100,0,.430,0,DOD,2
20,43,LF,.366,138,0,.377,6,GIA,3
13,8,OF,.363,75,0,.480,5,CUB,2
19,34,3B,.292,91,1,.505,0,DOD,1
12,15,2B,.440,105,2,.495,1,ATH,1
8,9,DH,.478,35,0,.486,0,PAD,2
17,38,RF,.246,160,0,.400,3,RED,4
36,37,3B,.337,151,0,.483,2,PAD,3
42,74,CF,.345,237,1,.523,14,RAN,0
1,10,3B,.227,20,0,.200,0,MAR,1
7,20,RF,.310,97,0,.505,2,ATH,1
6,20,OF,.392,66,0,.348,1,ROY,1
5,4,1B,.706,14,0,1.071,0,RED,0
7,2,C,.304,20,0,.400,0,CUB,2
18,13,RF,.350,75,0,.560,0,MAR,2
12,11,3B,.372,74,1,.378,3,ANG,0
21,14,3B,.419,136,0,.456,1,CUB,2
1,2,1B,.308,11,0,.364,0,ROY,1
26,45,LF,.342,173,0,.329,4,MAR,0
10,13,RF,.328,54,0,.389,8,CUB,0
23,49,CF,.364,171,1,.404,6,MAR,2
6,25,RF,.235,74,0,.176,0,DOD,0
18,27,1B,.286,110,0,.373,0,RED,7
11,39,RF,.265,104,0,.231,8,MAR,2
6,19,C,.220,37,0,.324,0,DOD,0
21,9,DH,.353,90,0,.411,1,GIA,4
23,41,OF,.360,127,3,.433,8,DIA,0
3,9,OF,.324,30,0,.167,4,CUB,1
4,8,3B,.387,50,1,.300,2,IND,4
2,7,C,.296,25,0,.320,0,DOD,1
16,16,2B,.402,74,1,.473,3,ANG,1
9,20,DH,.400,52,0,.538,1,PAD,1
8,21,1B,.305,50,0,.400,0,PAD,1
12,37,1B,.226,109,0,.266,2,MAR,6
7,30,LF,.380,63,0,.238,3,DIA,1
6,27,2B,.298,110,1,.218,6,ROY,2
0,9,C,.381,14,0,.071,2,DIA,0
7,3,OF,.394,27,0,.593,0,PAD,1
9,5,C,.432,34,1,.765,1,RAN,0
4,2,OF,.294,14,0,.286,0,DIA,1
31,39,OF,.350,167,0,.527,1,BRE,2
0,7,LF,.417,18,0,.278,0,DIA,0
3,1,C,.417,12,0,.667,0,BRE,0
3,7,SS,.350,30,0,.167,1,MAR,0
8,8,1B,.324,62,0,.306,4,IND,2
7,27,RF,.239,104,0,.231,0,PAD,2
9,11,C,.371,57,0,.368,2,PAD,1
4,3,OF,.389,18,0,.778,2,DOD,0
1,8,RF,.174,21,0,.238,0,IND,0
1,0,3B,.182,10,0,.400,0,RED,1
4,11,RF,.270,31,2,.258,1,GIA,0
4,10,DH,.162,36,0,.139,0,DIA,1
19,24,RF,.407,117,1,.470,2,RED,3
4,1,OF,.222,8,0,.250,0,PAD,0
6,8,RF,.233,42,0,.262,2,RAN,1
4,40,LF,.320,132,1,.303,3,ANG,4
7,19,SS,.378,120,1,.408,7,GIA,3
4,0,SS,.481,22,0,.500,1,ROY,0
19,33,C,.271,175,2,.280,0,BRE,3
0,0,P,1.000,0,0,--,0,DOD,0
