R,CS,SB,POS,G,H
0,0,0,C,4,0
1,0,0,P,18,1
0,0,0,P,6,0
8,0,1,OF,28,17
58,7,15,3B,128,134
11,1,2,OF,13,16
36,0,1,1B,68,62
49,0,1,RF,114,118
1,0,0,P,1,1
65,4,12,CF,87,110
0,0,0,P,24,1
53,8,4,RF,112,115
17,1,0,C,45,41
0,0,0,P,4,0
1,0,0,P,8,1
0,0,0,P,1,0
9,0,1,1B,23,27
0,0,0,P,10,0
47,7,16,CF,70,71
17,5,3,OF,54,34
7,0,1,C,23,22
5,0,1,SS,4,7
0,0,0,P,7,0
0,0,0,P,6,0
0,0,0,C,1,0
0,0,0,P,1,0
0,0,0,P,19,1
35,1,1,C,92,76
1,0,0,OF,3,3
45,5,8,1B,67,66
46,3,5,1B,121,115
3,0,0,C,3,1
10,5,1,CF,24,22
44,4,22,SS,93,82
0,0,0,P,5,1
89,0,0,3B,136,148
12,0,0,C,19,31
67,2,4,3B,127,115
49,2,2,C,69,86
15,0,0,C,35,31
47,3,2,3B,108,91
0,0,0,P,12,0
0,0,0,P,10,0
0,0,0,C,3,3
72,2,4,OF,106,140
49,5,1,2B,87,86
69,12,15,2B,127,128
42,6,7,1B,106,84
0,0,0,P,7,0
2,0,0,OF,4,4
57,9,11,RF,101,109
0,0,0,P,22,0
51,3,5,RF,105,100
0,0,0,P,10,3
5,0,0,SS,5,7
0,0,0,P,5,1
32,0,1,C,96,84
0,0,0,P,1,0
68,1,1,OF,119,124
24,1,2,C,68,51
59,2,6,3B,103,126
75,4,5,1B,132,160
4,0,0,1B,28,13
0,0,0,P,18,0
21,1,8,OF,42,46
1,0,0,P,8,0
0,0,0,P,19,0
18,0,1,C,49,31
0,0,0,P,11,0
30,2,14,CF,52,44
58,10,19,LF,118,125
