Opp,TRB%,AST%,MP,ORB%,STL%,DRB%
CLE,37.1,0.0,12:20,37.1,4.3,37.1
DET,12.8,11.7,22:07,13.3,0.0,12.1
MIA,11.7,0.0,15:38,7.5,0.0,16.2
PHO,29.4,0.0,14:06,0.0,0.0,54.2
BOS,0.0,0.0,7:47,0.0,6.5,0.0
MEM,24.7,0.0,15:39,32.3,3.4,12.8
ORL,19.6,0.0,12:35,9.1,4.5,31.8
CHI,16.5,0.0,11:11,20.9,0.0,11.6
PHO,6.9,0.0,16:59,7.4,0.0,6.4
NYK,18.4,0.0,24:55,24.1,2.2,14.3
GSW,22.4,0.0,16:52,12.9,0.0,31.6
HOU,15.9,19.4,15:06,13.5,7.0,19.3
GSW,14.8,0.0,17:33,28.8,5.5,0.0
NJN,0.0,0.0,7:20,0.0,0.0,0.0
MIL,12.4,16.6,14:50,7.5,0.0,18.5
UTA,24.2,0.0,7:44,15.1,0.0,34.5
CHI,33.1,0.0,7:26,34.9,0.0,31.5
IND,12.8,6.1,23:59,5.4,0.0,19.5
DAL,24.1,0.0,22:38,27.7,0.0,20.2
PHI,15.7,0.0,14:01,7.8,0.0,23.9
LAL,13.0,0.0,15:53,18.1,0.0,7.0
SAC,20.7,9.0,14:28,9.0,3.6,30.9
MEM,8.9,0.0,13:18,16.8,4.3,0.0
POR,13.0,0.0,14:03,0.0,4.0,25.0
NYK,8.4,9.3,15:44,16.5,3.3,0.0
SAS,26.5,7.5,16:03,8.8,3.2,39.9
DET,7.9,0.0,8:57,0.0,0.0,16.3
CHA,0.0,0.0,4:19,0.0,0.0,0.0
TOR,0.0,14.6,8:58,0.0,0.0,0.0
UTA,16.2,9.0,14:27,8.3,3.7,23.7
NJN,7.4,9.0,17:41,8.8,3.2,6.5
DEN,11.4,20.5,15:37,16.2,0.0,7.1
MIN,12.6,0.0,5:01,0.0,0.0,28.1
CLE,13.0,0.0,4:18,0.0,11.9,27.2
DET,10.5,0.0,13:16,13.7,4.2,7.2
CHI,8.9,0.0,5:23,0.0,0.0,18.6
PHI,100.0,0.0,0:32,100.0,0.0,0.0
MIL,25.5,0.0,17:36,13.0,0.0,41.3
BOS,16.3,0.0,27:25,20.6,0.0,10.7
CHI,13.9,0.0,20:08,10.1,2.5,18.3
BOS,21.4,0.0,8:59,13.7,0.0,29.7
ATL,21.8,14.8,20:28,12.0,0.0,32.4
CLE,10.4,7.1,16:32,18.5,3.1,0.0
SAS,11.9,0.0,5:07,0.0,10.2,22.9
ATL,16.0,4.8,29:22,12.1,0.0,21.5
LAC,12.2,0.0,13:07,7.2,0.0,18.8
