FGA,3P%,Player,FT%,ORB,MPG,BPG
1.8,0.125,Jaaron Simmons,0.706,0.0,11.0,0.0
5.6,0.0,Marcus Cousin,0.735,2.1,22.5,1.5
9.6,0.325,Danuel House,0.711,1.6,28.6,0.5
5.3,0.332,Marcus Malone,0.698,0.5,19.3,0.1
1.8,0.0,Anthony Jones,1.0,0.4,6.6,0.4
12.0,0.336,Andre Owens,0.736,1.1,35.8,0.2
2.5,0.324,Bryan Shelton,0.793,0.2,16.7,0.1
0.8,0.0,Kyle Hatcher,1.0,0.0,1.2,0.0
5.0,0.395,Lamar Roberson,0.75,1.0,12.9,0.5
2.1,0.0,Englebert Cherrington,0.444,1.5,11.3,0.3
0.5,0.25,Adam Drexler,0.333,0.4,2.4,0.0
1.4,0.0,Sergio de Randamie,0.622,1.1,11.2,0.6
4.3,0.269,Dwight Jones II,0.647,0.6,11.4,0.0
2.9,0.352,Tione Womack,0.625,0.3,19.0,0.1
2.8,0.333,Trumaine Johnson,0.333,0.2,16.0,0.1
1.2,0.0,Darrius Brannon,0.4,0.8,8.6,0.2
0.1,0.0,Jamon Wilson,0.0,0.0,1.1,0.0
0.0,0.0,Grega Nachbar,0.0,0.0,1.0,0.0
4.6,0.338,Kirk Van Slyke,0.802,0.8,12.4,0.4
0.2,0.0,Bryce Clark,0.0,0.1,3.2,0.2
0.2,0.0,Donald Brooks,0.0,0.0,1.7,0.0
7.7,0.347,L.J. Rose,0.712,0.4,30.9,0.1
8.3,0.4,Adam Brown,0.726,0.8,25.7,0.2
2.1,0.0,Rodney Hannah,0.5,1.2,11.6,0.5
8.1,0.417,Alandise Harris,0.646,2.1,26.7,1.1
10.0,0.386,Jonathon Simmons,0.721,1.4,30.1,0.4
0.9,0.0,Valentine Izundu,0.35,0.5,7.7,0.9
0.7,0.0,Lawrence Paye,1.0,0.0,1.3,0.0
1.0,0.0,Elijah Miller,0.562,0.5,8.1,0.2
4.0,0.385,Leon Gibson,0.664,1.8,14.5,0.5
5.4,0.312,J.J. Thompson,0.75,0.3,22.8,0.1
8.7,0.384,Dion Dowell,0.772,2.3,29.8,1.3
0.6,0.136,Parker Pinkalla,0.0,0.1,4.4,0.1
0.0,0.0,Justin Kostohryz,0.0,0.0,1.0,0.0
1.7,0.229,Horace McGloster,0.696,0.6,7.8,0.3
4.0,0.267,Tafari Toney,0.67,2.0,15.9,0.7
0.6,0.0,Cory Tellis,0.0,0.0,6.1,0.0
18.3,0.292,Aubrey Coleman,0.748,2.5,35.0,0.1
0.6,0.333,Charlie Jones,0.6,0.1,11.3,0.0
4.6,0.0,Kendrick Washington,0.594,1.6,19.8,0.5
4.1,0.305,LeRon Barnes,0.676,1.2,20.4,0.5
7.9,0.0,Maurice McNeil,0.601,2.9,26.1,1.3
11.2,0.402,Joe Young,0.866,0.6,31.4,0.1
11.6,0.381,Kelvin Lewis,0.816,1.1,33.0,0.2
1.8,0.0,Mikhail McLean,0.546,0.8,11.1,0.2
7.4,0.326,Jahmar Thorpe,0.743,2.5,26.6,0.6
6.0,0.392,Darian Thibodeaux,0.8,0.8,31.8,0.2
0.2,0.0,Rakim Stevenson,0.0,0.0,1.8,0.0
6.7,0.282,Brian Latham,0.615,1.0,28.8,0.6
