bb,r,Opponent,avg,a,e,h,hr,ibb,sh
3,2,Florida,0.262,10,2,4,1,0,0
0,0,Florida,0.261,10,2,5,0,0,1
4,2,Mississippi State,0.262,7,3,4,1,0,0
1,2,Tennessee,0.257,5,2,5,0,1,1
1,3,NC STATE,0.252,10,4,8,1,0,2
5,3,Wright State,0.183,14,2,10,0,0,0
3,1,Maryland,0.177,13,0,4,0,0,2
1,5,UAB,0.252,16,2,10,0,0,0
0,2,Michigan,0.256,3,0,6,0,0,1
7,8,North Florida,0.187,13,1,8,0,0,0
2,2,ALABAMA,0.247,5,1,10,0,0,0
2,4,WESTERN ILLINOIS,0.25,6,3,8,1,0,1
7,7,SOUTH CAROLINA,0.255,11,2,8,2,0,1
3,9,ARKANSAS,0.267,11,0,19,3,1,1
0,3,ARKANSAS,0.267,5,0,9,1,0,0
5,3,Ole Miss,0.263,7,1,5,0,0,2
7,8,Ole Miss,0.266,8,0,9,1,0,1
5,10,SOUTH CAROLINA,0.259,4,1,11,2,1,2
6,7,UAB,0.255,4,1,6,3,0,1
1,2,LIU,0.175,6,1,5,0,0,0
0,0,Michigan,0.183,7,1,6,0,0,1
3,2,Texas A&M-CC,0.217,9,1,7,0,0,1
0,0,Tennessee,0.258,3,1,5,0,0,0
1,0,LOUISVILLE,0.257,6,0,3,0,0,0
2,1,ALABAMA,0.241,3,2,4,0,0,0
3,1,LSU,0.258,8,0,4,0,0,0
3,7,NC STATE,0.253,6,3,7,2,0,2
2,6,Florida Atlantic,0.168,13,1,3,1,0,1
6,10,Stephen F. Austin,0.242,4,1,12,2,0,0
4,1,Louisville,0.253,7,0,2,0,0,0
4,0,UCLA,0.108,7,6,1,0,0,0
3,8,Auburn Tigers,0.26,9,1,11,2,0,0
0,3,Mississippi State,0.265,11,1,6,1,0,0
