sb,gdp,ab,h,Opponent,r,ibb,k
53,5,1568,399, ,219,3,340
2,0,21,10,Nicholls State,9,0,3
1,0,26,8,WESTERN ILLINOIS,4,0,3
0,0,41,10,UAB,5,0,9
0,1,24,5,Tennessee,2,1,6
0,0,32,11,Auburn Tigers,5,0,6
2,0,27,7,GEORGIA,3,0,9
0,0,23,3,UCLA,1,0,7
0,0,23,9,Ole Miss,8,0,3
1,0,25,5,Ole Miss,3,0,6
0,0,25,3,LOUISVILLE,0,0,7
2,0,31,8,North Florida,8,0,5
0,0,28,7,NC STATE,7,0,6
0,0,34,11,Auburn Tigers,8,0,6
0,0,27,8,NC STATE,3,0,4
0,0,28,10,ALABAMA,2,0,7
1,0,24,3,Louisville,2,0,3
0,1,24,3,Pacific,3,0,2
2,0,20,6,UAB,7,0,4
0,0,21,6,Jacksonville State,2,0,2
0,0,27,12,Stephen F. Austin,10,0,5
0,0,31,10,WKU Lady Toppers,4,0,4
1,0,29,7,Georgia Southern,1,0,6
0,0,19,5,Tennessee,0,0,2
0,0,26,6,Mississippi State,3,0,9
0,0,29,7,Georgia,4,0,4
2,0,25,9,MOREHEAD STATE,3,0,5
2,0,24,5,Mississippi State,1,0,7
0,0,21,4,LSU,2,0,9
1,0,32,9,Tennessee,5,0,11
