Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Yonder Alonso,SD,4,2,0.5,0,0,0,0,0,2,0,1,0.5,0.5,1.0
Cameron Maybin,ATL,4,2,0.5,1,0,0,1,0,0,0,0,0.75,0.6,1.35
Will Venable,SD,4,2,0.5,0,0,1,1,0,0,0,0,1.25,0.5,1.75
Jesus Guzman, ,4,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Nick Hundley,COL,3,3,1.0,1,0,0,1,0,0,0,0,1.333,1.0,2.333
Orlando Hudson, ,3,1,0.333,0,0,0,1,0,0,0,0,0.333,0.333,0.667
Chase Headley,NY-A,3,0,0.0,0,0,0,0,1,1,1,0,0.0,0.25,0.25
Cory Luebke,SD,3,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Felipe Lopez, ,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Carlos Quentin, ,2,1,0.5,0,0,1,1,0,0,0,0,2.0,0.5,2.5
Sean Rodriguez,PIT,2,1,0.5,1,0,0,0,0,0,0,0,1.0,0.5,1.5
Joey Votto,CIN,2,1,0.5,1,0,0,0,0,0,0,0,1.0,0.5,1.5
Logan Forsythe,TB,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Paul Janish,BAL,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Andy Parrino,OAK,2,0,0.0,0,0,0,0,1,1,0,0,0.0,0.333,0.333
Kelly Shoppach, ,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Alexi Amarista,SD,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Jay Bruce,CIN,1,1,1.0,0,0,0,1,0,0,0,0,1.0,1.0,2.0
Freddie Freeman,ATL,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Sam Fuld,OAK,1,1,1.0,1,0,0,0,1,0,0,0,2.0,1.0,3.0
Reed Johnson,WAS,1,1,1.0,1,0,0,1,0,0,0,0,2.0,1.0,3.0
Adam Jones,BAL,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Derrek Lee, ,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Scott Rolen, ,1,1,1.0,1,0,0,1,0,0,0,0,2.0,1.0,3.0
Kevin Barker, ,1,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Reid Brignac,MIA,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Johnny Damon, ,1,0,0.0,0,0,0,1,1,0,0,0,0.0,0.5,0.5
Ryan Dempster, ,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Chris Denorfia,CHI-N,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Kosuke Fukudome, ,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Yasmani Grandal,LA,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Vladimir Guerrero, ,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Nick Markakis,ATL,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Laynce Nix, ,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brandon Phillips,CIN,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Mark Reynolds,STL,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
David Ross,CHI-N,1,0,0.0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
Luke Scott,TOR,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Drew Sutton, ,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Dan Uggla,WAS,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Melvin Upton Jr.,SD,1,0,0.0,0,0,0,1,1,1,0,0,0.0,0.5,0.5
Matt Wieters,BAL,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ben Zobrist,KC,1,0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
Robert Andino,PIT,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Dan Johnson,STL,0,0,0.0,0,0,0,0,1,0,0,0,0.0,1.0,1.0
Drew Stubbs,COL,0,0,0.0,0,0,0,0,1,0,0,0,0.0,1.0,1.0
Ryan Theriot, ,0,0,0.0,0,0,0,0,1,0,0,0,0.0,1.0,1.0
