SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1989 - 1990,Fife Flyers,BHL,32,14,3,15,-,-,226,264,31,5,Semifinal loss
1990 - 1991,Fife Flyers,BHL,36,8,4,24,-,-,215,306,20,10,Relegated
1991 - 1992,Fife Flyers,BD1,36,27,3,6,-,-,383,204,57,1,Champion | Promoted
1992 - 1993,Fife Flyers,BHL,36,15,1,20,-,-,193,232,31,7,-
1993 - 1994,Fife Flyers,BHL,44,27,2,15,-,-,304,192,56,2,-
1994 - 1995,Fife Flyers,BHL,44,20,4,20,-,-,271,242,44,6,-
1995 - 1996,Fife Flyers,BHL,36,14,6,16,-,-,209,238,34,6,Quarterfinal loss
1996 - 1997,Fife Flyers,NPIHL,36,33,0,3,-,-,315,130,66,1 Champion,Final loss
1997 - 1998,Fife Flyers,BNL,16,8,1,7,-,0,80,75,17,6,Semifinal loss
1998 - 1999,Fife Flyers,BNL,32,13,-,16,2,1,121,126,31,5,Champion
1999 - 2000,Fife Flyers,BNL,36,28,-,7,1,0,176,89,58,1 Champion,Champion
2000 - 2001,Fife Flyers,BNL,36,26,-,7,-,3,209,96,55,3,Qualification
2001 - 2002,Fife Flyers,BNL,44,31,1,12,-,-,222,110,63,3,Semifinal loss
2002 - 2003,Fife Flyers,BNL,36,15,0,18,-,3,113,127,33,7,Qualification
2003 - 2004,Fife Flyers,BNL,36,23,3,7,-,3,135,97,52,1 Champion,Semifinal loss
2004 - 2005,Fife Flyers,BNL,38,12,0,25,-,1,112,171,25,6,Semifinal loss
2005 - 2006,Fife Flyers,SNL,16,14,1,1,-,-,119,32,29,1 Champion,-
 ,Fife Flyers,Northern,12,12,0,0,-,0,80,32,24,1,Champion
2006 - 2007,Fife Flyers,SNL,18,18,0,0,-,-,148,26,36,1 Champion,-
 ,Fife Flyers,Northern,22,22,0,0,-,0,133,41,44,1,Semifinal loss
2007 - 2008,Fife Flyers,Northern,24,22,-,1,-,1,135,42,45,1 Champion,-
 ,Fife Flyers,SPL,16,13,0,1,-,-,83,31,28,1,Champion
2008 - 2009,Fife Flyers,Northern,16,12,-,2,-,2,76,38,26,2,Champion
2009 - 2010,Fife Flyers,Northern,16,11,-,3,-,2,85,40,24,2,Semifinal loss
2010 - 2011,Fife Flyers,Northern,23,18,3,2,-,-,144,46,39,1,Champion
2011 - 2012,Fife Flyers,EIHL,54,8,-,40,-,6,110,254,22,10,Did not make playoffs
2012 - 2013,Fife Flyers,EIHL,52,23,-,27,-,2,154,176,48,7,Quarterfinal loss
2013 - 2014,Fife Flyers,EIHL,52,24,-,23,-,5,172,188,53,7,Semifinal loss
2014 - 2015,Fife Flyers,EIHL,52,22,-,27,-,3,170,180,47,8,Quarterfinal loss
2015 - 2016,Fife Flyers,EIHL,-,-,-,-,-,-,-,-,-,-,-
