ORB%,USG%,Age,Date,ORtg,eFG%,DRtg
10.5,27.7,32-009,2006-02-09,66,.500,107
0.0,22.1,31-312,2005-12-09,81,.333,90
0.0,35.1,32-071,2006-04-12,109,.500,108
0.0,16.4,31-319,2005-12-16,105,1.000,127
6.4,23.8,32-006,2006-02-06,59,.143,114
0.0,32.3,31-313,2005-12-10,45,.500,114
0.0,19.8,31-308,2005-12-05,70,.333,119
0.0,25.1,31-303,2005-11-30,112,.500,109
0.0,0.0,32-046,2006-03-18,214, ,74
0.0,15.0,31-359,2006-01-25,0,.000,103
19.7,17.9,31-302,2005-11-29,84,.333,92
6.6,19.6,32-076,2006-04-17,134,.500,118
0.0,19.2,32-067,2006-04-08,65,.500,113
0.0,21.6,32-004,2006-02-04,91,.667,119
0.0,17.3,32-050,2006-03-22,161,.667,108
10.3,15.9,31-343,2006-01-09,153,.500,118
0.0,22.2,31-350,2006-01-16,137,.800,103
0.0,19.8,31-352,2006-01-18,49,.200,109
36.0,13.0,32-025,2006-02-25,61,.000,118
22.3,16.3,31-287,2005-11-14,73,.250,109
14.8,27.5,31-306,2005-12-03,94,.333,102
7.6,12.8,31-340,2006-01-06,157,.625,105
0.0,31.0,31-345,2006-01-11,0,.000,112
0.0,38.1,32-060,2006-04-01,99,.167,108
0.0,49.9,32-043,2006-03-15,39,.250,117
12.3,27.5,32-042,2006-03-14,23,.000,82
0.0,24.0,32-012,2006-02-12,84,.429,90
9.4,15.7,31-285,2005-11-12,162,1.000,111
0.0,14.7,32-073,2006-04-14,74,1.000,113
0.0,19.5,32-022,2006-02-22,116,.600,104
25.4,31.4,31-291,2005-11-18,177,.000,112
52.6,36.5,31-316,2005-12-13,135,.333,113
6.3,37.4,31-299,2005-11-26,113,.538,101
34.4,30.9,31-317,2005-12-14,136,.500,107
0.0,8.7,32-024,2006-02-24,35, ,107
13.4,24.5,31-355,2006-01-21,102,.500,88
0.0,11.9,31-305,2005-12-02,62,.250,106
