TOV%,eFG%,G,Opp,BLK%,MP,TS%,ORtg,Rk
50.0,.000,52,LAC,8.2,9:57,.000,0,52
0.0,.750,49,MIN,0.0,12:04,.717,156,49
34.0,.000,3,CLE,0.0,14:45,.258,36,3
33.3,1.000,42,GSW,0.0,7:42,1.000,118,42
20.5,1.000,46,HOU,9.7,8:21,1.031,150,46
0.0,.500,24,WAS,0.0,16:28,.500,123,24
0.0,.500,16,HOU,0.0,12:08,.500,115,16
0.0,1.000,30,NYK,0.0,6:21,.904,182,30
0.0,.667,21,UTA,0.0,17:15,.667,138,21
0.0,1.000,7,NOK,0.0,3:57,1.000,200,7
0.0,.500,1,IND,0.0,7:24,.500,131,1
 , ,9,ORL,10.1,6:58, ,203,9
0.0, ,34,ATL,0.0,13:43,1.136,240,34
30.7,.400,40,NYK,2.9,26:17,.592,88,40
0.0,.000,43,MIA,0.0,16:20,.174,42,43
34.7,.000,8,SAS,0.0,7:25,.266,55,8
20.5,.667,14,WAS,8.5,7:59,.644,117,14
37.5,.600,60,SAC,4.2,20:48,.600,99,60
0.0,.250,41,CLE,0.0,18:08,.250,64,41
0.0,.400,68,MIL,4.8,18:17,.425,121,68
17.0,.500,35,ATL,0.0,15:11,.512,111,35
0.0,.400,67,ATL,4.8,13:57,.518,107,67
0.0,.750,39,DEN,0.0,14:51,.750,155,39
17.0,.250,31,PHI,0.0,15:22,.410,79,31
0.0,.500,45,POR,0.0,12:20,.532,127,45
