3B,Team,HR,CS,AVG
1,NYY,17,0,0.252
1,MIL,3,0,0.249
1,TEX,9,0,0.226
0,NYM,2,0,0.236
0,ARI,9,0,0.293
0,BAL,0,0,0.107
0,CHC,0,0,0.2
0,KC,15,0,0.243
0,CLE,3,0,0.156
0,BAL,0,0,0.455
0,ARI,2,0,0.242
0,MIN,3,0,0.231
0,CHC,10,0,0.23
0,SD,1,0,0.077
1,CLE,5,0,0.226
0,HOU,9,0,0.221
0,ARI,1,1,0.211
2,TOR,15,4,0.264
0,TOR,0,0,0.269
1,CIN,0,0,0.178
0,TOR,3,0,0.224
0,TB,5,0,0.176
3,COL,8,5,0.295
0,ATL,1,0,0.281
0,TEX,3,0,0.178
3,COL,3,1,0.214
0,SEA,1,0,0.079
0,MIL,0,0,0.048
1,BOS,1,2,0.244
0,WAS,3,0,0.204
1,ATL,6,2,0.294
0,SF,1,0,0.178
0,MIA,0,0,0.118
0,CIN,3,1,0.25
0,TEX,0,0,0.2
0,NYM,0,0,0.178
0,LAD,2,0,0.222
0,SD,2,0,0.167
0,DET,3,1,0.173
0,HOU,8,0,0.254
0,SEA,0,0,0.16
0,BOS,0,0,0.18
0,DET,1,0,0.271
0,TEX,0,0,0.182
1,NYM,4,0,0.269
0,WAS,9,0,0.234
0,PIT,0,0,0.284
1,NYY,1,0,0.286
0,MIN,0,0,0.2
2,SF,3,0,0.241
1,BAL,4,0,0.275
0,BOS,1,0,0.241
1,CHC,4,1,0.333
0,ARI,1,0,0.2
1,BAL,8,0,0.245
