Player Name,2B,RBI,SLG,CS,SF,AVG,SO,SH
"Lavarnway, Ryan",2,4,0.438,0,0,0.281,5,0
"Butera, Drew",0,0,0.19,1,0,0.19,2,0
"Grandal, Yasmani",11,41,0.514,1,1,0.292,60,1
"Teagarden, Taylor",0,2,0.2,0,0,0.2,4,0
"Avila, Alex",2,11,0.26,1,0,0.173,48,1
"Jaso, John",7,7,0.517,1,1,0.35,12,0
"Lucroy, Jonathan",12,23,0.341,0,3,0.249,36,1
"Sanchez, Tony",0,0,0.375,0,0,0.375,3,0
"Soto, Geovany",7,19,0.488,0,0,0.244,42,0
"Realmuto, J.T.",15,29,0.4,3,2,0.252,47,1
"Castillo, Welington",2,5,0.349,0,0,0.163,12,0
"Leon, Sandy",1,3,0.191,0,0,0.18,20,5
"Clevenger, Steve",1,1,0.545,0,0,0.455,2,0
"Mesoraco, Devin",1,2,0.244,0,0,0.178,9,0
"Butera, Drew",1,2,0.2,0,0,0.178,12,2
"Swihart, Blake",10,14,0.338,2,0,0.244,44,1
"Chirinos, Robinson",15,33,0.425,0,2,0.226,59,5
"Bethancourt, Christian",6,9,0.287,0,0,0.198,18,0
"Pacheco, Jordan",0,8,0.333,0,2,0.242,14,0
"Nieves, Wil",0,4,0.308,0,0,0.077,4,0
"Montero, Miguel",5,32,0.392,0,2,0.23,64,0
"Pena, Brayan",9,11,0.314,0,1,0.278,24,2
"d'Arnaud, Travis",3,17,0.487,0,1,0.269,14,0
"Rupp, Cameron",6,10,0.32,0,1,0.227,48,0
"Schwarber, Kyle",2,13,0.556,1,0,0.333,22,0
"Sucre, Jesus",1,1,0.184,0,0,0.079,8,4
"Maldonado, Martin",2,12,0.259,1,1,0.184,42,1
"Ross, David",7,5,0.286,0,0,0.184,36,1
"Castillo, Welington",0,2,0.16,0,2,0.16,5,0
"Casali, Curt",3,11,0.639,0,1,0.246,22,0
"Barnhart, Tucker",3,8,0.347,1,1,0.25,20,0
"McCann, James",14,25,0.427,0,1,0.282,53,3
"Phegley, Josh",11,23,0.483,0,1,0.266,28,0
"Thole, Josh",2,2,0.346,0,0,0.269,2,0
"Zunino, Mike",11,26,0.317,1,2,0.18,113,5
