Date,USG%,Opp,ORB%,Age,GS,STL%,TRB%
2004-04-09,12.2,GSW,0.0,25-036,1,0.0,2.5
2004-03-03,7.7,DAL,0.0,24-365,1,0.0,3.0
2003-12-05,6.1,SAC,0.0,24-276,1,1.6,5.2
2004-04-12,10.3,UTA,0.0,25-039,1,0.0,0.0
2003-11-05,8.8,SAC,25.2,24-246,1,0.0,12.2
2003-11-26,9.1,NYK,0.0,24-267,1,0.0,2.7
2004-02-19,2.8,SAC,0.0,24-352,1,0.0,3.1
2004-03-09,5.5,SEA,6.7,25-005,1,0.0,5.3
2004-03-14,16.2,POR,6.6,25-010,1,0.0,7.0
2004-01-21,10.0,TOR,0.0,24-323,1,2.0,5.2
2004-03-10,12.4,POR,0.0,25-006,1,0.0,4.8
2004-01-19,12.1,NOH,0.0,24-321,1,0.0,2.7
2004-03-24,15.2,DEN,10.5,25-020,1,0.0,6.8
2004-01-10,9.9,MIA,6.1,24-312,1,0.0,11.3
2003-12-03,10.5,PHO,0.0,24-274,1,2.3,9.6
2003-12-07,6.7,LAC,3.7,24-278,1,4.6,7.1
2003-11-22,16.0,LAC,0.0,24-263,1,0.0,3.5
2003-11-11,9.1,SEA,5.7,24-252,0,0.0,3.0
2003-12-23,10.4,NYK,0.0,24-294,1,0.0,2.0
2004-03-23,10.0,SAS,6.2,25-019,1,0.0,7.0
2004-03-26,4.1,LAL,4.5,25-022,1,0.0,4.6
2004-03-27,14.1,LAC,0.0,25-023,1,0.0,6.1
2004-02-25,7.5,NJN,0.0,24-358,1,2.5,12.5
2004-04-14,13.4,MEM,9.5,25-041,1,3.1,11.4
2004-03-19,8.6,PHO,4.1,25-015,1,2.0,8.3
2004-02-29,9.8,PHI,6.1,24-362,1,0.0,11.1
2004-04-04,9.4,MEM,6.8,25-031,1,0.0,3.4
