Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Garin Cecchini,PorSal,219,44,69,15,4,3,57,8,3,48,40,0.315,0.443,0.461,0.904
Keury De La Cruz,Sal,274,34,82,25,1,4,84,7,3,18,56,0.299,0.334,0.442,0.776
Mookie Betts,SalGre,179,33,64,9,2,5,55,11,0,33,24,0.358,0.456,0.514,0.97
Jeremy Hazelbaker,Paw,188,32,53,6,0,4,47,14,1,21,56,0.282,0.349,0.378,0.726
Xander Bogaerts,PawPor,197,30,50,7,3,8,60,1,2,25,39,0.254,0.341,0.442,0.782
Tony Thomas,PawPor,237,30,61,19,4,6,66,6,1,21,58,0.257,0.322,0.447,0.769
Shannon Wilkerson,Por,161,30,41,5,5,0,33,6,4,27,42,0.255,0.357,0.348,0.705
Travis Shaw,Por,211,29,37,6,0,6,40,2,1,50,64,0.175,0.338,0.289,0.627
Aneury Tavarez,Gre,236,28,57,13,5,4,52,10,4,13,72,0.242,0.286,0.39,0.676
Deven Marrero,PorSal,176,27,47,7,0,0,24,10,0,27,29,0.267,0.364,0.307,0.671
David Chester,SalGre,218,26,59,17,0,6,72,1,0,30,50,0.271,0.36,0.431,0.792
Cody Koback,SalGre,185,26,52,8,3,0,39,7,0,13,36,0.281,0.352,0.357,0.709
Henry Ramos,Sal,189,26,45,8,5,3,46,3,3,21,44,0.238,0.307,0.381,0.688
Stefan Welch,Sal,125,25,40,10,0,4,40,3,0,25,27,0.32,0.447,0.496,0.943
J.C. Linares,PawPor,181,25,47,13,2,5,49,0,0,16,54,0.26,0.337,0.436,0.773
Michael Almanzar,Por,244,25,69,13,1,6,71,4,1,19,46,0.283,0.332,0.418,0.75
Bryce Brentz,PawGCL,173,24,55,11,1,11,56,1,0,10,41,0.318,0.359,0.584,0.943
Mark Hamilton,PawGCL,156,24,47,13,0,5,53,0,0,30,50,0.301,0.409,0.481,0.89
Jose Vinicio,Gre,182,23,42,10,1,1,26,8,3,4,48,0.231,0.254,0.313,0.567
Drew Sutton,Paw,161,22,49,15,1,1,47,2,0,23,37,0.304,0.384,0.429,0.813
Blake Swihart,Sal,171,22,53,11,5,0,40,4,3,20,28,0.31,0.379,0.433,0.812
Luis Alexander Basabe,DSL,79,21,20,5,0,1,19,8,1,23,27,0.253,0.429,0.354,0.783
Brandon Jacobs,PorSal,135,21,33,15,0,3,36,4,2,19,41,0.244,0.356,0.422,0.778
Nick Natoli,3 Teams,132,21,31,10,0,0,29,2,1,23,39,0.235,0.36,0.311,0.671
Kevin Mager,GreLow,130,19,41,8,3,1,40,1,0,18,32,0.315,0.408,0.446,0.854
