DESKTOP/IBM/FW/IDS IPSEC 56,IP/FW/IDS IPSEC 3DES,ENTERPRISE/SNASW IPSEC 3DES,IP IPSEC 3DES,ENTERPRISE/SNASW IPSEC 56
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
N,N,Y,N,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
N,N,Y,N,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
N,N,Y,N,Y
N,N,Y,N,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
N,N,Y,N,Y
Y,Y,Y,Y,Y
Y,N,Y,N,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
N,N,Y,N,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
N,N,Y,N,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
Y,Y,Y,Y,Y
