OPS,3B,H,AB,OBP
0.904,2,152,407,.430
0.709,4,54,202,.348
0.333,0,0,2,.333
0.812,0,108,366,.356
0.933,1,117,375,.426
0.673,1,34,151,.322
0.823,1,68,236,.336
0.0,0,0,4,.000
0.734,1,72,235,.355
0.772,0,93,347,.340
0.519,0,14,63,.265
0.516,0,14,78,.247
0.437,0,5,27,.214
0.915,4,85,290,.391
0.742,1,98,390,.316
1.131,1,131,357,.498
0.364,0,2,11,.182
0.749,0,62,207,.401
0.67,0,63,224,.331
0.903,0,86,301,.381
0.756,1,66,260,.306
0.922,0,91,266,.399
1.5,0,1,2,.500
0.869,2,124,375,.389
0.912,3,123,357,.388
0.714,1,98,359,.338
0.835,0,88,288,.352
0.667,0,111,391,.324
0.7,0,3,10,.300
0.79,0,49,156,.361
0.705,0,2,8,.455
0.0,0,0,0,--
0.825,0,57,161,.371
1.056,0,24,70,.442
0.767,0,64,216,.328
0.668,0,30,136,.352
0.0,0,0,1,.000
0.909,0,42,127,.397
0.763,1,91,319,.381
0.5,0,1,4,.250
0.724,0,56,200,.324
0.607,1,23,95,.270
0.879,2,52,195,.356
0.782,6,112,374,.362
0.847,1,80,252,.394
0.792,5,134,416,.376
0.374,0,3,25,.214
0.636,0,59,235,.330
0.807,0,39,116,.350
0.489,0,1,8,.364
0.5,0,0,1,.500
0.585,0,11,44,.267
0.805,0,21,69,.355
0.63,2,56,220,.289
0.684,0,21,92,.336
0.76,1,76,302,.303
0.818,4,135,417,.360
0.618,0,41,166,.304
0.974,0,125,393,.409
0.985,3,104,335,.388
0.0,0,0,0,--
0.701,0,64,223,.329
0.784,1,91,313,.404
0.864,2,131,379,.400
0.774,0,18,55,.356
0.853,0,77,296,.346
0.659,1,14,57,.290
0.716,0,33,111,.355
0.736,0,17,60,.353
1.071,0,57,189,.410
0.834,0,32,111,.402
0.751,3,99,362,.334
0.64,2,19,87,.330
1.042,4,155,420,.406
0.83,1,47,164,.403
0.624,0,22,93,.333
0.0,0,0,0,--
0.928,0,45,133,.364
0.586,1,24,113,.302
0.597,0,41,176,.273
0.745,1,53,212,.348
0.764,1,21,82,.337
0.81,1,103,350,.344
0.843,0,141,441,.360
0.483,1,5,28,.233
0.738,0,86,307,.351
0.0,0,0,0,--
0.878,2,116,398,.330
0.816,2,114,335,.381
0.789,0,101,325,.368
0.25,0,0,12,.250
0.848,1,84,243,.383
0.901,1,131,373,.445
0.781,0,35,110,.353
0.735,1,31,123,.328
0.739,1,62,188,.366
0.9,0,85,250,.408
0.845,0,57,176,.357
0.0,0,0,0,--
0.581,1,7,33,.278
0.854,0,62,175,.408
0.678,0,40,149,.335
0.834,0,46,152,.367
0.848,1,14,45,.404
0.0,0,0,4,.000
0.533,0,30,138,.265
0.795,7,126,427,.383
0.804,2,116,398,.387
0.809,0,38,116,.361
0.65,0,1,4,.400
0.865,1,114,356,.401
0.0,0,0,2,.000
1.026,0,38,96,.453
0.915,1,24,79,.371
0.75,0,26,91,.343
0.472,0,3,18,.250
0.837,1,93,331,.339
0.688,1,75,277,.323
0.463,0,8,40,.238
0.722,0,26,84,.376
0.819,1,102,340,.369
0.641,0,9,38,.326
0.775,0,57,204,.344
0.0,0,0,0,--
0.913,0,69,235,.402
0.736,0,51,189,.329
0.716,1,93,327,.312
0.823,4,110,340,.391
0.396,0,1,12,.313
0.744,2,110,345,.365
0.259,0,1,17,.200
0.764,0,47,148,.331
1.02,0,47,127,.453
1.108,0,88,235,.406
1.075,0,126,354,.437
0.772,1,60,235,.342
0.694,0,10,33,.361
0.622,0,28,134,.279
0.5,0,1,4,.250
0.601,0,65,251,.322
1.042,4,85,235,.433
0.517,1,10,46,.234
0.0,0,0,4,.000
0.0,0,0,4,.000
0.71,0,9,30,.344
0.687,0,9,35,.316
0.667,2,72,274,.320
0.542,1,11,53,.259
0.581,1,61,269,.283
0.458,0,2,16,.333
0.0,0,0,0,--
0.923,0,144,420,.394
0.561,0,6,25,.321
0.997,0,113,353,.425
0.795,0,47,167,.346
0.578,0,8,33,.306
0.937,1,114,351,.387
0.768,1,84,295,.357
0.732,0,95,348,.350
0.71,3,101,366,.322
0.963,2,144,439,.380
