Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,0,165.00K,0.00K
WHITESBORO,GRAYSON CO.,TX,05/06/2009,04:07,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
DENISON,GRAYSON CO.,TX,05/06/2009,04:13,CST-6,Thunderstorm Wind,52 kts. EG,0,0,3.00K,0.00K
DENISON,GRAYSON CO.,TX,05/06/2009,04:20,CST-6,Thunderstorm Wind,52 kts. EG,0,0,7.00K,0.00K
CALLISBURG,COOKE CO.,TX,05/06/2009,04:30,CST-6,Thunderstorm Wind,56 kts. EG,0,0,2.00K,0.00K
TELEPHONE,FANNIN CO.,TX,05/06/2009,04:43,CST-6,Thunderstorm Wind,52 kts. EG,0,0,2.00K,0.00K
TIGERTOWN,LAMAR CO.,TX,05/06/2009,04:58,CST-6,Thunderstorm Wind,52 kts. EG,0,0,2.00K,0.00K
CELINA,COLLIN CO.,TX,05/06/2009,05:07,CST-6,Thunderstorm Wind,50 kts. EG,0,0,2.00K,0.00K
PARIS FLYNG TGR ARPT,LAMAR CO.,TX,05/06/2009,05:15,CST-6,Thunderstorm Wind,56 kts. EG,0,0,125.00K,0.00K
WYLIE,COLLIN CO.,TX,05/06/2009,05:23,CST-6,Thunderstorm Wind,52 kts. EG,0,0,3.00K,0.00K
COMMERCE,HUNT CO.,TX,05/06/2009,05:25,CST-6,Thunderstorm Wind,61 kts. EG,0,0,7.00K,0.00K
POINT,RAINS CO.,TX,05/06/2009,06:10,CST-6,Thunderstorm Wind,61 kts. EG,0,0,10.00K,0.00K
BONHAM,FANNIN CO.,TX,05/06/2009,06:30,CST-6,Lightning, ,0,0,2.00K,0.00K
Totals:, , , , , , , ,0,0,165.00K,0.00K
