Date,Opponent,Score,w,l,sv,ip,h,r,er,era,bb,k,hr
Mar 4,at Jacksonville St.,"L, 6-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 4,at Jacksonville St.,"L, 8-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 6,at Jacksonville St.,"L, 5-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 6,at Jacksonville St.,"L, 5-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 11,at Wofford,"L, 5-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 12,at Wofford,"L, 10-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 12,at Wofford,"L, 7-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 13,at Wofford,"L, 13-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 14,at Mercer,"L, 14-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 16,at Kennesaw St.,"W, 10-6",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 17,at Georgia St.,"L, 9-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 18,at Charlotte,"L, 2-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 19,at Charlotte,"L, 7-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 20,at Charlotte,"L, 7-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 26,at NYIT,"L, 3-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 26,at NYIT,"W, 10-6",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 27,at NYIT,"W, 3-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 27,at NYIT,"L, 5-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 30,Holy Cross,"L, 11-6",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 2,at Penn,"L, 8-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 2,at Penn,"L, 8-7",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 3,at Columbia,"L, 11-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 3,at Columbia,"L, 8-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 7,at Bryant,"L, 12-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 9,Princeton,"L, 5-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 9,Princeton,"L, 3-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 10,Cornell,"W, 11-8",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 10,Cornell,"L, 18-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 12,Northeastern,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Apr 16,at Brown,"L, 2-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 16,at Brown,"L, 4-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 17,at Brown,"W, 6-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 17,at Brown,"W, 12-7",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 19,Bryant,"L, 3-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 19,Bryant,"L, 12-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 20,vs. Massachusetts,"W, 1-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 22,Yale,"L, 3-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 22,Yale,"W, 1-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 24,Yale,"L, 8-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 24,Yale,"W, 10-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 26,vs. Boston College,"L, 8-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 30,at Dartmouth,"L, 4-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 30,at Dartmouth,"L, 6-0",0,0,0,0.0,-,-,-,0.00,-,-,-
May 1,Dartmouth,"L, 3-1",0,0,0,0.0,-,-,-,0.00,-,-,-
May 1,Dartmouth,"L, 10-8",0,0,0,0.0,-,-,-,0.00,-,-,-
