SB,AB,SH
3,202,2
8,455,2
0,16,0
2,491,0
19,398,11
4,160,3
6,333,2
3,221,0
8,273,4
3,157,2
3,85,0
0,3,0
0,4,1
0,79,2
12,526,0
2,261,0
1,259,0
0,72,0
3,71,1
1,75,1
0,32,0
0,19,0
7,249,3
4,98,1
0,132,1
4,249,1
4,157,1
0,56,1
0,15,0
2,354,4
0,9,0
11,283,0
0,70,1
0,100,0
8,203,5
0,94,1
0,71,1
0,6,0
6,423,7
1,65,1
0,237,2
0,5,0
1,55,0
0,14,3
8,236,1
1,33,1
1,37,2
0,46,1
1,326,2
9,457,0
0,31,0
14,347,9
8,218,4
4,450,0
3,67,1
1,74,3
2,118,2
3,43,3
5,497,0
7,126,1
14,326,0
0,12,0
1,119,0
18,282,4
7,364,1
3,109,1
0,6,0
1,120,0
18,384,0
0,166,0
0,49,0
8,418,4
1,81,6
9,443,3
13,465,9
14,315,5
1,19,0
3,458,0
0,0,0
8,335,7
0,56,0
0,11,0
9,461,1
4,235,0
1,463,0
30,232,1
0,55,0
0,7,0
0,133,3
1,15,0
0,0,0
1,78,0
35,235,5
12,189,7
22,268,1
13,345,6
1,22,0
0,3,0
7,240,8
0,8,0
0,13,0
8,425,0
7,327,3
0,1,0
0,8,0
9,251,1
0,352,6
6,419,5
0,68,2
8,171,0
0,14,0
22,402,15
7,367,9
50,489,2
0,48,1
1,5,0
0,39,0
27,424,1
1,73,0
0,72,0
4,43,0
0,16,0
7,321,7
1,170,8
1,159,0
3,211,8
12,316,0
2,108,3
0,119,0
0,36,0
4,21,0
3,103,2
0,41,1
6,450,1
0,65,1
1,216,2
3,115,3
0,268,2
3,299,3
0,12,1
2,129,4
0,16,0
0,9,0
31,323,3
3,195,0
0,48,0
17,239,0
24,441,3
2,82,2
5,347,7
1,4,0
0,0,0
4,174,0
1,198,1
21,491,16
0,49,0
1,83,2
0,39,1
15,138,3
1,63,2
0,282,5
2,113,1
