Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
Birmingham,0.271,140,4660,725,1261,277,25,139,678,457,955,85,36,42,49,98,0.339,0.43,0.77
Tennessee,0.268,140,4654,591,1246,257,27,89,536,410,871,94,52,58,33,94,0.331,0.392,0.723
Chattanooga,0.264,139,4594,599,1212,297,27,88,553,515,993,84,58,65,44,102,0.342,0.398,0.74
Mobile,0.262,140,4618,595,1212,215,28,53,541,494,783,134,58,35,49,121,0.339,0.356,0.694
Huntsville,0.254,138,4512,573,1144,229,23,65,520,493,786,77,40,55,54,103,0.332,0.358,0.689
Carolina,0.253,140,4684,566,1184,274,20,99,524,421,907,92,51,53,35,87,0.32,0.383,0.703
Jacksonville,0.249,140,4571,643,1138,246,41,110,583,570,1129,106,46,43,59,83,0.334,0.393,0.727
West Tenn,0.249,140,4464,612,1110,206,31,105,555,539,1006,137,62,53,39,102,0.336,0.379,0.716
Mississippi,0.247,138,4488,517,1107,222,30,60,466,501,943,123,69,52,46,101,0.327,0.35,0.676
Montgomery,0.238,139,4540,565,1080,209,40,82,513,490,999,130,41,37,36,94,0.317,0.356,0.673
