TOV%,Age,DRtg
0.0,34-297,128
 ,34-315,92
 ,34-324,116
0.0,34-303,113
50.0,34-354,81
 ,34-269,120
100.0,34-286,100
0.0,34-224,104
20.0,34-360,86
 ,34-357,135
0.0,34-283,86
0.0,34-346,94
 ,34-279,112
0.0,35-013,93
0.0,34-345,106
0.0,34-331,124
 ,34-248,106
0.0,35-001,113
 ,34-307,105
0.0,34-351,128
0.0,34-342,113
0.0,34-230,116
100.0,34-281,103
0.0,34-340,112
0.0,34-335,95
33.3,34-236,129
100.0,34-352,112
0.0,34-339,101
 ,34-234,98
 ,34-288,101
0.0,34-220,111
0.0,34-292,109
0.0,35-005,118
100.0,34-314,121
0.0,34-213,111
0.0,34-216,107
0.0,34-348,126
41.0,34-271,92
100.0,34-300,101
0.0,35-004,95
0.0,34-245,101
