Sr. No,Name,Age,Team,Mats,Inns,N.O.,Runs,HS,AVG,100,50
321,Fahad Ahmed,20 years,National Bank of Pakistan Under-19s,1,1,0,2.0,2.0,2.00,0,0
322,M Raheem Ullah Khan,--,Rawalpindi Under-19s,3,1,0,35.0,35.0,35.00,0,0
323,Shahrukh Ahmed,21 years,Karachi Blues Under-19s,1,1,0,0.0,0.0,0.00,0,0
324,Humayun Zaheer,--,Faisalabad Under-19s,1,1,0,6.0,6.0,6.00,0,0
325,Mawaz Teemia,21 years, ,2,1,0,8.0,8.0,8.00,0,0
326,Hasan Azad,22 years,Port Qasim Authority Under-19s,1,1,0,8.0,8.0,8.00,0,0
327,Muhammad Qayoom,--,Peshawar Under-19s,1,1,0,3.0,3.0,3.00,0,0
328,Mohammad Ali,20 years,Karachi Whites Under-19s,2,1,0,13.0,13.0,13.00,0,0
329,Raheel Meo,19 years,Hyderabad Under-19s,1,1,0,3.0,3.0,3.00,0,0
330,Imran Hamid,21 years,Quetta Under-19s,1,1,0,7.0,7.0,7.00,0,0
331,Ahmed Raza,--,State Bank of Pakistan Under-19s,1,1,1,33.0,33.0,--,0,0
332,Mohammad Ilyas,19 years,National Bank of Pakistan Under-19s,1,1,0,6.0,6.0,6.00,0,0
333,Kashif Tariq,21 years,Islamabad Under-19s,4,1,1,0.0,0.0,--,0,0
334,Mohammad Yameen,21 years, ,1,0,0, , ,--,0,0
335,Haider Ali,20 years, ,1,0,0, , ,--,0,0
336,Malik Aftab Azwar,19 years, ,1,0,0, , ,--,0,0
337,Kamran Talib,21 years, ,2,0,0, , ,--,0,0
338,Bilal Javed,21 years, ,1,0,0, , ,--,0,0
339,Shaheen Zulqarnain,19 years, ,1,0,0, , ,--,0,0
340,Shaheryar Waseem,21 years, ,1,0,0, , ,--,0,0
