eFG%,BLK%,Rk,TRB%,Tm,TOV%,DRB%
.000,14.0,52,26.8,DET,50.0,54.4
 ,3.1,53,18.1,DET,18.5,25.2
.000,0.0,54,24.9,DET,0.0,34.7
 ,0.0,16,9.0,DET,100.0,10.4
.500,0.0,6,18.1,DET,0.0,20.2
 ,0.0,11,25.4,DET, ,35.0
.333,18.6,8,11.5,DET,0.0,26.9
1.000,4.7,15,5.7,DET,75.0,0.0
 ,0.0,41,19.3,DET, ,33.3
 ,0.0,45,13.2,DET,0.0,22.5
 ,7.4,26,19.7,DET,100.0,36.1
 ,4.7,55,15.3,DET,100.0,19.3
.000,0.0,42,20.1,DET,0.0,27.9
 ,0.0,21,13.3,DET, ,30.2
 ,0.0,34,0.0,DET, ,0.0
.000,0.0,61,12.4,DET,0.0,16.3
.000,0.0,2,7.0,DET,0.0,16.6
 ,0.0,22,21.3,DET, ,18.4
.000,4.4,47,21.1,DET,34.7,18.9
.000,3.1,31,18.3,DET,0.0,34.5
.000,0.0,40,25.9,DET,0.0,35.8
1.250,2.6,29,10.7,DET,26.6,8.3
1.000,0.0,43,6.4,DET,0.0,6.1
 ,0.0,37,27.1,DET,100.0,61.2
.429,2.9,62,28.4,DET,20.2,37.1
.000,0.0,25,18.9,DET,50.0,39.8
.000,11.0,19,14.9,DET,0.0,11.7
.000,0.0,13,4.9,DET,0.0,10.5
