TS%,TOV%,GmSc,ORtg,ORB%
.568,53.2,0.4,73,11.7
.333,0.0,2.1,99,0.0
.000,0.0,0.3,49,0.0
 , ,0.9, ,0.0
.202,28.8,-3.5,45,25.5
.000,0.0,-1.4,0,0.0
.381,0.0,1.8,89,0.0
.000,0.0,1.0,50,0.0
.500,33.3,0.4,76,0.0
.500,0.0,3.1,139,31.9
.174,25.8,-0.4,54,64.0
.000,0.0,-0.1,0,0.0
.714,12.5,9.2,112,0.0
.000,0.0,0.3,50,0.0
.333,0.0,1.0,102,38.1
.500,25.0,4.1,92,20.0
.676,10.1,6.9,130,6.7
.000,0.0,0.0,64,50.5
.543,0.0,5.4,126,8.0
.000,66.7,-0.7,0,0.0
.500,0.0,1.0,99,0.0
.250,0.0,3.0,112,34.8
.000,33.3,-2.5,0,0.0
.000,0.0,-1.1,0,0.0
.000,33.3,0.3,17,6.0
.000,25.0,-2.5,0,0.0
1.025,0.0,10.4,214,0.0
.500,14.3,5.6,96,12.1
.000,0.0,-0.4,0,0.0
.400,0.0,4.8,116,11.0
