Date,Opponent,Score,s,k,e,ta,pct,a,sa,se,re,digs,bs,ba,be,tot,bhe,pts
Jan 17,at King (Tenn.),"L, 3-1",4,6,7,27,-.037,0,2,3,0,2,0,1,0,1,0,8.5
Jan 18,vs. Limestone,"L, 3-1",4,21,9,41,.293,1,1,2,1,4,0,1,0,1,0,22.5
Jan 18,vs. Belmont Abbey,"W, 3-0",3,12,2,22,.455,0,1,3,1,5,0,2,1,2,0,14.0
Jan 25,at East. Mennonite,"L, 3-2",4,1,3,10,-.200,2,1,0,1,3,0,0,0,0,0,2.0
Jan 25,at East. Mennonite,"W, 3-1",3,3,1,12,.167,0,1,3,0,5,1,0,0,1,0,5.0
Jan 30,Limestone,"L, 3-0",2,3,4,12,-.083,0,0,2,1,3,1,0,0,1,0,4.0
Jan 31,vs. McKendree,"W, 3-2",3,6,2,14,.286,0,3,2,0,2,1,1,0,2,0,10.5
Feb 1,vs. Quincy,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Feb 1,at Lindenwood,"L, 3-0",2,3,1,9,.222,0,0,0,3,0,1,0,0,1,0,4.0
Feb 4,at Mount Olive,"L, 3-0",3,12,0,19,.632,0,0,2,1,1,1,3,0,4,0,14.5
Feb 8,at Belmont Abbey,"L, 3-0",3,11,4,18,.389,0,0,0,1,6,0,0,0,0,0,11.0
Feb 15,at Lees-McRae,"L, 3-1",4,7,7,16,.000,0,0,2,5,5,0,0,0,0,0,7.0
Feb 18,at Pfeiffer,"L, 3-1",3,2,5,10,-.300,1,0,2,5,3,0,1,0,1,0,2.5
Feb 22,vs. Quincy,"L, 3-0",2,7,2,12,.417,1,0,2,0,4,0,2,0,2,1,8.0
Feb 22,at Barton,"L, 3-1",4,11,6,31,.161,1,0,5,1,3,0,4,0,4,0,13.0
Mar 1,Lees-McRae,"L, 3-1",4,14,10,33,.121,2,4,3,0,2,1,1,0,2,0,19.5
Mar 1,Erskine,"L, 3-0",3,6,2,9,.444,0,3,1,2,1,1,0,0,1,0,10.0
Mar 2,Sacred Heart,"L, 3-1",4,10,4,19,.316,0,1,2,0,3,0,0,0,0,0,11.0
Mar 2,Pfeiffer,"L, 3-0",3,12,3,27,.333,0,2,4,0,6,1,0,0,1,0,15.0
Mar 15,Mount Olive,"L, 3-1",4,7,6,17,.059,0,1,4,0,8,1,1,0,2,0,9.5
Mar 16,Emmanuel (Ga.),"L, 3-0",3,9,5,22,.182,0,0,2,2,1,0,1,1,1,0,9.5
Mar 16,Alderson-Broaddus,"W, 3-1",4,10,4,20,.300,1,3,4,2,4,0,2,1,2,0,14.0
Mar 21,Belmont Abbey,"W, 3-2",4,6,7,21,-.048,0,2,3,3,7,0,1,0,1,0,8.5
Mar 21,Rutgers-Newark,"W, 3-2",4,5,3,12,.167,0,0,2,0,2,1,1,0,2,0,6.5
Mar 22,at Limestone,"L, 3-0",3,6,4,16,.125,0,0,3,1,5,0,0,0,0,0,6.0
Mar 25,Barton,"W, 3-0",3,8,5,19,.158,2,1,1,0,0,1,1,0,2,0,10.5
Mar 27,at Erskine,"L, 3-2",5,6,5,27,.037,2,1,4,3,8,0,1,1,1,0,7.5
Apr 4,at Warner,"L, 3-2",5,9,3,24,.250,1,1,6,3,5,1,0,0,1,0,11.0
Apr 5,at Warner,"L, 3-0",3,2,2,9,.000,1,0,4,1,1,1,0,0,1,0,3.0
