HR,R,G,SH,3B
3,45,96,5,3
0,1,7,0,0
0,0,2,0,0
1,3,12,0,0
8,43,100,1,1
2,31,87,4,5
0,2,3,0,1
8,32,92,3,1
0,8,41,1,0
2,66,124,6,5
0,0,2,0,0
0,3,7,0,0
16,91,123,1,5
1,8,33,0,1
0,4,22,1,0
0,7,32,3,0
2,13,32,2,1
4,33,105,2,2
2,22,62,0,3
2,29,67,5,2
0,1,3,0,0
1,5,23,0,0
0,0,1,0,0
0,1,4,0,1
0,1,3,0,0
4,19,50,1,0
12,53,106,1,2
0,41,118,9,2
3,33,52,0,5
1,7,26,0,2
1,12,67,2,1
1,6,8,0,0
0,3,11,0,1
0,3,17,1,0
0,12,26,0,0
0,0,9,0,0
3,21,50,0,2
1,16,34,1,0
8,47,114,3,5
2,11,34,4,0
12,37,96,0,1
7,50,125,2,3
0,2,2,0,0
0,0,3,0,0
0,2,15,1,0
2,44,116,4,1
2,53,121,3,2
7,21,49,0,0
0,11,42,1,1
4,32,59,2,3
1,33,68,5,7
0,4,6,0,0
13,63,122,0,4
9,39,105,0,2
1,36,74,7,1
2,34,59,0,2
1,27,92,7,0
2,14,28,0,1
0,2,8,1,0
13,28,73,0,1
0,2,5,0,0
16,61,123,0,1
4,43,112,7,0
0,9,41,3,0
0,1,2,0,0
13,44,101,0,1
0,4,22,0,0
0,1,5,0,0
1,10,12,0,3
3,26,60,2,0
3,31,66,4,2
8,40,90,0,2
0,4,14,0,1
2,43,120,8,4
2,7,36,0,1
0,1,6,0,0
0,3,8,0,0
0,8,33,0,0
2,38,91,4,2
0,11,26,3,0
7,68,124,26,1
0,0,2,0,0
2,28,57,0,1
0,5,24,0,0
11,55,121,1,5
4,27,62,4,3
4,68,114,5,11
0,1,3,0,0
0,13,54,4,2
13,61,118,0,3
0,32,53,1,3
2,24,65,4,3
7,35,87,1,4
0,4,21,3,0
4,26,100,2,1
14,53,97,1,1
0,5,10,1,1
11,46,99,0,2
3,11,44,1,1
7,37,65,1,6
3,27,99,0,3
0,0,1,0,0
12,43,113,1,1
11,24,51,0,1
10,32,68,0,0
1,19,73,4,1
13,53,124,0,4
14,45,98,1,1
11,40,69,0,5
8,29,54,1,4
2,12,43,1,0
1,31,75,5,5
1,23,45,1,2
0,5,8,0,1
