Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Sep 7,Catholic,"L, 48-16",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 14,Moravian,"W, 21-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 21,at Muhlenberg,"L, 58-0",1,0,1,-,-,0,-,-,-,-,-,-,-,-
Sep 28,at Ursinus,"L, 40-21",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 5,Gettysburg,"L, 50-28",4,0,4,-,-,0,-,-,-,-,-,-,-,-
Oct 19,Franklin & Marshall,"L, 28-9",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 26,at Dickinson,"L, 38-31",0,1,1,-,-,0,-,-,-,-,-,-,-,-
Nov 2,Juniata,"L, 42-21",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 9,at Susquehanna,"W, 43-42",1,1,2,-,-,0,-,-,-,-,-,-,-,-
Nov 16,Johns Hopkins,"L, 52-21",1,0,1,-,-,0,-,-,-,-,-,-,-,-
