GmSc,eFG%,MP,Date,ORB%,DRtg,USG%,Tm
6.1,.500,20:00,2003-03-23,13.7,120,15.8,CHI
1.3, ,7:00,2003-01-08,15.9,104,0.0,CHI
3.9, ,12:00,2003-01-22,20.5,94,0.0,CHI
3.3,.750,26:00,2003-02-03,4.7,121,11.8,CHI
2.0,.000,10:00,2003-01-26,22.3,103,8.1,CHI
2.5,.333,28:00,2003-02-01,10.5,104,8.1,CHI
12.5,.667,30:00,2002-12-04,10.0,102,5.6,CHI
3.4,.250,16:00,2002-12-03,39.5,129,16.6,CHI
2.8,.500,19:00,2002-11-20,5.3,112,9.1,CHI
-0.5,.333,22:00,2003-02-04,5.9,88,12.4,CHI
0.3,.250,26:00,2002-11-04,9.9,106,10.8,CHI
2.8,1.000,9:00,2003-03-12,0.0,105,13.8,CHI
1.9,.400,29:00,2003-04-13,0.0,118,12.7,CHI
3.7,.000,18:00,2003-03-22,7.6,99,2.6,CHI
8.9,.667,21:00,2003-03-11,6.5,100,15.3,CHI
5.0,.333,14:00,2002-12-12,39.9,100,10.0,CHI
-1.7,.250,14:00,2002-12-07,11.1,118,16.8,CHI
1.1, ,26:00,2003-01-18,4.7,96,1.9,CHI
2.2,.500,38:00,2003-04-09,3.4,116,5.0,CHI
6.8,.833,32:00,2002-11-27,8.8,107,11.7,CHI
3.6,.500,22:00,2003-04-02,6.2,116,12.2,CHI
0.6,.500,10:00,2003-03-26,11.4,80,19.3,CHI
3.5,.500,19:00,2003-01-17,6.3,93,7.2,CHI
5.2,.667,12:00,2003-03-01,18.2,112,14.4,CHI
-0.8,.500,7:00,2002-11-02,14.0,105,23.6,CHI
4.5,1.000,17:00,2002-10-30,13.4,99,2.7,CHI
-1.4,.000,3:00,2002-11-30,0.0,112,27.8,CHI
