Year,Age,Lg,Tm,PA,AB,Walk Rate,Strikeout Rate,BB/K Ratio,Contact Rate,BABIP,Isolated Power
2010,26.0,AAA,COL,448,404,7.8%,12.1%,0.65,87%,0.364,0.074
2011,27.0,AAA,GWI,363,333,6.9%,11.3%,0.61,88%,0.354,0.039
2011,27.0,MAJ,ATL,119,109,5%,11.8%,0.43,87%,0.333,0.082
2012,28.0,AAA,GWI,392,344,9.2%,11%,0.84,88%,0.357,0.061
2012,28.0,MAJ,ATL,86,76,9.3%,24.4%,0.38,72%,0.345,0.026
2013,29.0,AAA,GWI,373,341,7.8%,13.1%,0.59,86%,0.322,0.038
2013,29.0,MAJ,ATL,31,31,0%,16.1%,0.0,84%,0.308,0.0
2014,30.0,AAA,GWI,497,447,7.4%,9.9%,0.76,89%,0.329,0.031
2014,30.0,MAJ,ATL,4,4,0%,25%,0.0,75%,0.0,0.0
2015,31.0,AAA,LOU,139,125,8.6%,11.5%,0.75,87%,0.294,0.064
3-Year Averages, , , ,39,37,5.1%,23.1%,0.22,76%,0.321,0.0
