AVG,SB,Player,Team,SF,2B
0.5,0,E Farris,NBR,0,0
0.284,24,D Fields,ERI,4,27
0.268,1,J Murphy,TRN,2,10
0.328,8,C Chen,AKR,2,10
0.269,10,A Loewen,NH,0,22
0.245,3,R Hague,HAR,2,19
0.325,20,B Burns,HAR,0,4
0.311,5,X Bogaerts,POR,2,12
0.0,0,M Reynolds,BIN,0,0
0.25,12,D Gibson,POR,2,16
0.224,3,J Robbins,ERI,0,26
0.252,0,J Van Ostrand,HAR,0,19
0.291,5,B Britton,BOW,2,12
0.253,12,A Burns,NH,3,19
0.316,5,J Beresford,NBR,3,5
0.253,2,J Head,HAR,0,21
0.245,13,J Parker,RIC,0,18
0.295,0,K Knudson,NBR,1,5
0.273,0,E Zambrano,RIC,0,0
0.163,0,J Talley,NH,0,5
0.177,10,G Ngoepe,ALT,3,10
0.268,1,R Bermudez,POR,1,1
0.235,0,J Suomi,REA,0,0
0.284,7,E Rosario,NBR,2,19
0.22,5,C Paulino,ALT,3,9
0.237,23,S Wilkerson,POR,6,23
0.256,1,A Susac,RIC,2,17
0.273,0,T Joseph,REA,0,1
0.326,24,C Puello,BIN,2,21
0.2,0,M Hernandez,ERI,0,1
0.28,7,N Romero,BOW,2,21
0.272,5,J Rodriguez,BIN,6,30
0.257,4,T Austin,TRN,3,17
0.231,0,C Smith,NBR,3,8
0.217,0,H Garcia,NBR,0,0
0.272,18,J Pirela,TRN,5,27
0.26,1,B Ward,BOW,2,9
0.267,4,J Johnson,HAR,1,7
0.225,12,E Duran,REA,5,19
0.265,1,T Manzella,NH,1,5
0.262,5,K Nolan,NH,4,24
0.254,18,D Maggi,ALT,5,14
0.296,8,G Cecchini,POR,2,14
0.246,0,T Taijeron,BIN,2,18
0.268,31,D Ceciliani,BIN,4,17
0.366,1,G Jacobo,NH,0,8
0.231,5,R Rodriguez,NBR,7,33
0.165,0,M Sobolewski,NBR,2,4
0.167,0,N Spears,AKR,0,1
0.295,0,A Monsalve,AKR,0,4
0.299,0,C Wallace,AKR,2,5
0.21,3,R Schimpf,NH,1,21
0.262,0,O Tejeda,ALT,0,2
0.276,0,J Linares,POR,2,24
0.213,0,A Zazueta,NH,0,8
0.308,0,J Pinto,NBR,0,23
0.228,1,C Stevenson,TRN,2,10
0.2,0,M Skole,HAR,0,1
0.127,1,C Pettit,BOW,1,7
0.192,4,K Brown,ALT,1,3
0.24,11,E Adrianza,RIC,2,12
0.198,3,K Tomlinson,RIC,0,5
0.26,17,P Hissey,POR,3,15
0.264,0,K Dugan,REA,1,12
0.218,4,A Castillo,TRN,1,4
0.226,1,J Gil,TRN,0,2
0.242,0,C Walker,BOW,0,5
0.224,5,D Hood,HAR,5,18
0.169,3,A Morales,NBR,3,6
0.257,0,T Mendonca,REA,0,8
0.193,1,C Jones,ERI,0,3
0.143,0,A Gonzalez,REA,0,1
0.189,2,J Christian,NBR,0,2
0.5,0,M Oliberto,TRN,0,0
0.309,3,M Minicozzi,RIC,5,30
0.258,3,B Krill,RIC,2,10
0.22,3,L Zawadzki,NH,1,1
0.216,12,J Cunningham,ALT,3,18
0.2,0,J Navarro,RIC,0,4
0.243,1,S Ochinko,NH,1,13
0.267,9,C Vaughn,BIN,1,9
0.167,0,C Ruiz,REA,0,1
0.111,0,R Oduber,HAR,0,0
0.221,1,K Bellows,AKR,2,6
0.25,0,J Ciriaco,RIC,0,0
0.252,19,B Goodwin,HAR,1,19
0.333,0,K Watts,HAR,0,2
0.164,2,A Solis,ALT,0,3
0.27,1,G Urshela,AKR,2,23
0.333,0,G Barber,BOW,0,0
0.312,2,W Ibarra,TRN,2,2
0.296,23,J Herrera,RIC,4,37
0.236,6,D Marrero,POR,2,0
0.333,0,A Rodriguez,TRN,1,0
0.176,0,F Arcia,TRN,0,1
0.241,2,M Lemon,ERI,1,8
0.216,1,B Greenwell,AKR,0,1
