USG%,STL%,Date,Opp,GS
16.1,3.7,2006-12-05,PHO,1
22.0,0.0,2006-12-15,UTA,0
16.4,2.1,2006-11-16,GSW,0
13.8,0.0,2006-11-15,MEM,0
0.0,0.0,2006-11-03,CHI,0
31.0,0.0,2007-04-03,DAL,0
16.5,7.4,2007-02-28,CHA,0
12.9,0.0,2007-04-10,MEM,0
29.5,2.0,2007-02-23,NJN,0
24.3,15.3,2007-02-10,SEA,0
13.7,3.1,2007-03-19,ATL,0
15.5,17.5,2007-04-01,LAL,0
19.4,3.5,2007-04-06,UTA,0
30.5,0.0,2006-12-18,DAL,0
19.8,0.0,2006-12-30,GSW,0
17.1,2.0,2006-11-22,UTA,0
15.6,0.0,2007-04-08,HOU,0
22.1,0.0,2007-04-13,GSW,0
30.5,11.6,2007-02-14,NOK,0
0.0,0.0,2007-02-22,WAS,0
0.0,0.0,2006-12-21,WAS,0
0.0,0.0,2007-01-09,CLE,0
18.9,2.6,2007-02-25,IND,0
0.0,0.0,2007-03-30,LAC,0
25.5,5.8,2007-04-04,DEN,0
0.0,0.0,2007-03-16,MIA,0
15.9,0.0,2006-11-08,DET,0
