GIDP,AB,SF,OPS,R,G,SH,SO,Player,AVG
2,105,0,.781,25,34,0,26,S Woodward,.219
0,0,0,--,0,1,0,0,J Carlin,--
4,295,2,.853,44,70,0,97,S Schebler,.285
3,127,0,.757,20,38,0,19,S Diaz,.299
5,278,1,.776,38,68,1,65,K Waldrop,.273
4,219,3,.897,38,61,1,52,S Cardullo,.288
0,8,0,.819,1,3,0,3,M Jensen,.375
1,27,0,.789,3,7,0,5,J Rogers,.296
0,44,0,.572,3,12,0,10,R Ozuna,.227
0,28,0,.833,3,8,0,11,B Dean,.286
2,27,0,.435,2,9,0,9,B Tanner,.111
0,15,0,.800,2,4,0,2,C O'Brien,.267
3,33,1,.829,6,8,0,6,M Antonio,.303
9,224,3,.867,33,56,0,43,D Mateo,.348
0,123,0,.681,19,36,3,24,Y Roja,.276
6,290,1,.987,64,63,0,46,T Lindsey,.362
0,41,0,.892,7,16,0,9,M De Leon,.317
6,195,0,.835,32,53,0,46,R Aguila,.256
3,113,1,.842,26,32,1,26,J Boudreaux,.265
1,43,0,.547,4,13,0,10,R Jenkins,.209
2,38,1,.408,5,13,1,11,J Puentes,.158
3,69,0,.749,10,29,2,6,R Pacione,.333
6,159,0,.911,33,43,0,60,W Swanner,.264
5,189,0,.521,19,49,1,43,A Martinez,.222
2,151,0,.790,31,45,0,55,J Hunt,.272
7,174,1,.602,30,46,2,44,D Sandford,.247
10,260,3,.760,52,70,3,61,D Herbek,.262
7,228,2,.801,40,63,0,38,M Earley,.307
0,58,0,.774,12,15,0,18,D Thomas,.328
3,126,2,.513,18,43,1,44,A Ray,.175
3,219,0,.772,47,61,0,74,J Arias,.251
0,18,0,.436,1,4,0,5,J Winker,.111
7,171,2,.740,25,43,3,19,L Piterson,.298
0,6,0,.833,2,2,0,0,J Bandy,.333
2,62,1,.827,9,17,0,11,N DelGuidice,.355
1,92,1,.881,16,26,0,12,M Liberto,.348
3,262,5,.720,41,68,0,71,P Berberet,.240
0,9,0,.000,0,3,0,6,W Moss,.000
6,176,1,.789,35,45,1,26,A Aguilar,.307
2,128,6,.825,22,38,4,28,M Medina,.297
0,38,0,.728,2,15,0,16,J Berggren,.289
5,269,3,.941,47,66,0,72,E Groff,.316
1,52,0,.581,9,20,2,21,T Smith,.192
6,121,1,.689,16,39,8,27,D Martinez,.289
