TRB%,DRB%,ORB%,TS%,GmSc,Opp,Rk,MP,GS
22.0,0.0,38.7,.000,0.0,POR,28,2:00,0
12.8,35.6,0.0, ,-1.7,SAC,46,5:00,0
13.5,14.6,12.5,.410,1.4,PHO,23,8:00,0
4.7,10.9,0.0,.167,-2.6,CHI,3,13:00,0
0.0,0.0,0.0, ,-0.4,MIL,24,1:00,0
8.2,22.9,0.0,.667,2.0,PHO,29,7:00,0
0.0,0.0,0.0, ,0.7,UTA,50,1:00,0
8.2,0.0,13.3,.500,1.3,DAL,34,8:00,0
0.0,0.0,0.0, ,-1.4,CHH,11,1:00,0
0.0,0.0,0.0,1.000,2.7,SAS,39,3:00,0
18.0,24.1,9.0,.500,2.5,NJN,14,19:00,0
11.4,0.0,21.8,.532,0.2,DEN,9,5:00,0
8.1,7.8,8.4,.322,1.5,SEA,33,14:00,0
9.5,14.9,5.5,.143,-2.6,MIA,18,19:00,0
0.0,0.0,0.0,.266,-0.1,GSW,31,2:00,0
8.9,0.0,16.4,.510,3.5,UTA,8,19:00,0
0.0,0.0,0.0, ,0.0,LAL,51,1:00,0
41.9,28.6,54.5,.347,2.6,SEA,41,4:00,0
0.0,0.0,0.0, ,1.0,SEA,1,1:00,0
10.0,20.5,0.0,1.000,0.2,GSW,4,6:00,0
40.0,100.0,0.0, ,1.3,LAL,42,2:00,0
7.8,16.3,0.0,.425,0.1,SAC,27,26:00,0
7.6,11.8,4.5,.533,7.8,IND,16,29:00,0
