Year,Round,Pick,Player,Pos,HT,WT,Class,Draft Age,Pre-Draft Team,Draft Team,YOS
2014,1,8,Nik Stauskas,SG,6-6,205.0,So *,21.0,Michigan,Sacramento Kings,1
2014,1,21,Mitch McGary,C,6-10,255.0,So *,22.0,Michigan,Oklahoma City Thunder,1
2014,2,40,Glenn Robinson,SF,6-7,222.0,So *,20.0,Michigan,Minnesota Timberwolves,1
2013,1,9,Trey Burke,G,6-1,190.0,So *,21.0,Michigan,Minnesota Timberwolves,2
2013,1,24,Tim Hardaway Jr.,SG,6-6,205.0,Jr *,21.0,Michigan,New York Knicks,2
2011,2,41,Darius Morris,G,6-5,195.0,So *,20.0,Michigan,Los Angeles Lakers,4
2010,1,6,Ekpe Udoh,PF,6-10,245.0,Jr *,23.0,Baylor,Golden State Warriors,5
2004,2,45,Bernard Robinson,GF,6-6,210.0,Sr,24.0,Michigan,Charlotte Hornets,3
2000,1,8,Jamal Crawford,SG,6-5,200.0,Fr *,20.0,Michigan,Cleveland Cavaliers,15
1999,2,42,Louis Bullock,G,6-1,180.0,Sr,23.0,Michigan,Minnesota Timberwolves,1
1998,1,6,Robert Traylor,F-C,6-8,284.0,Jr *,21.0,Michigan,Dallas Mavericks,7
1998,2,58,Maceo Baston,FC,6-11,230.0,Sr,22.0,Michigan,Chicago Bulls,5
1997,1,11,Tariq Abdul-Wahad,SF,6-6,223.0,Jr *,23.0,San Jose State,Sacramento Kings,8
1997,1,14,Mo Taylor,F,6-9,265.0,Jr *,21.0,Michigan,Los Angeles Clippers,10
1995,2,35,Jimmy King,GF,6-5,210.0,Sr,22.0,Michigan,Toronto Raptors,5
1994,1,5,Juwan Howard,PF,6-9,240.0,Jr *,21.0,Michigan,Washington Wizards,19
1994,1,13,Jalen Rose,G,6-8,210.0,Jr *,21.0,Michigan,Denver Nuggets,13
1993,1,1,Chris Webber,F-C,6-9,245.0,So *,20.0,Michigan,Orlando Magic,15
1993,2,33,Eric Riley,C,7-0,245.0,Sr,23.0,Michigan,Dallas Mavericks,7
1990,1,10,Rumeal Robinson,PG,6-2,195.0,Sr,24.0,Michigan,Atlanta Hawks,8
1990,1,13,Loy Vaught,PF,6-9,230.0,Sr,23.0,Michigan,Los Angeles Clippers,13
1990,1,16,Terry Mills,PF,6-10,230.0,Sr,23.0,Michigan,Milwaukee Bucks,11
