Age,eFG%,ORtg,USG%,TOV%,Tm
27-146,.667,160,12.4,0.0,NJN
27-153,.000,61,9.4,0.0,NJN
27-189,.500,115,12.2,0.0,NJN
27-194,1.000,152,4.4,34.7,NJN
27-120,.500,114,22.9,0.0,NJN
27-233,1.000,152,8.2,34.7,NJN
27-215,.500,108,11.2,20.0,NJN
27-263, , ,0.0, ,NJN
27-187, ,43,5.8,100.0,NJN
27-236,.000,38,5.9,0.0,NJN
27-105,1.000,112,6.5,50.0,NJN
27-095, , ,0.0, ,NJN
27-200,.400,77,12.9,28.6,NJN
27-119,.000,48,7.8,0.0,NJN
27-257,.000,122,2.4,0.0,NJN
27-218, ,209,0.0, ,NJN
27-138,1.000,211,7.6,0.0,NJN
27-213,.250,74,6.5,17.0,NJN
27-149,1.000,134,15.4,26.6,NJN
27-142,.500,79,7.8,33.3,NJN
27-224,.500,95,19.3,20.0,NJN
27-171, , ,0.0, ,NJN
27-208, ,39,2.0,100.0,NJN
27-178, , ,0.0, ,NJN
27-238,.333,83,28.1,20.5,NJN
27-112,.333,88,20.4,20.5,NJN
27-127,.000,11,13.0,25.0,NJN
27-134,.000,0,3.2,0.0,NJN
27-141,1.000,205,5.2,0.0,NJN
27-110,.000,47,8.3,0.0,NJN
27-133,.000,77,5.9,0.0,NJN
27-103,.500,78,9.2,33.3,NJN
