Age,Date,DRtg,TRB%,BLK%
30-166,2006-11-12,102,16.2,15.8
30-250,2007-02-04,116,12.2,4.7
30-232,2007-01-17,96,16.1,5.8
30-290,2007-03-16,108,4.6,11.5
30-204,2006-12-20,108,11.8,0.0
30-207,2006-12-23,114,15.2,7.4
30-190,2006-12-06,105,9.2,4.5
30-255,2007-02-09,105,15.0,0.0
30-270,2007-02-24,81,6.1,4.9
30-320,2007-04-15,120,9.6,0.0
30-322,2007-04-17,111,12.8,0.0
30-234,2007-01-19,119,2.7,0.0
30-211,2006-12-27,107,10.2,2.4
30-253,2007-02-07,115,12.3,2.7
30-225,2007-01-10,84,13.7,0.0
30-237,2007-01-22,98,9.8,6.5
30-300,2007-03-26,100,6.9,8.6
30-168,2006-11-14,115,10.6,0.0
30-276,2007-03-02,104,21.9,0.0
30-239,2007-01-24,94,15.0,3.4
30-164,2006-11-10,114,12.8,0.0
30-213,2006-12-29,112,16.0,0.0
30-277,2007-03-03,122,8.2,0.0
30-311,2007-04-06,100,8.0,0.0
30-280,2007-03-06,139,6.8,11.9
30-274,2007-02-28,110,15.4,4.5
30-285,2007-03-11,119,8.9,0.0
30-313,2007-04-08,79,20.4,7.5
30-214,2006-12-30,114,15.8,2.4
30-306,2007-04-01,94,10.3,9.9
30-288,2007-03-14,95,14.9,8.6
30-260,2007-02-14,116,28.9,0.0
30-269,2007-02-23,94,15.6,7.4
30-203,2006-12-19,108,13.0,3.4
30-185,2006-12-01,108,15.6,4.5
