Date,Opponent,Min,FGM-A,3PM-A,FTM-A,Off,Def,Tot,Ast,Stl,Blk,TO,PG,Pts
Dec. 26,Philadelphia 76ers,2,0-1,0-0,0-0,0,0,0,0,0,0,0,1,0
Dec. 29,Denver Nuggets,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Jan. 03,Oklahoma City Thunder,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Jan. 06,Phoenix Suns,9,0-1,0-0,4-4,1,1,2,0,0,2,0,1,4
Jan. 08,Cleveland Cavaliers,3,0-0,0-0,0-0,0,0,0,0,0,1,1,3,0
Jan. 11,Orlando Magic,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Jan. 13,San Antonio Spurs,5,1-1,0-0,0-0,1,1,2,0,0,0,0,1,2
Jan. 14,Houston Rockets,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Jan. 16,New Orleans Hornets,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Jan. 18,Atlanta Hawks,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Jan. 20,Toronto Raptors,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Jan. 21,Detroit Pistons,1,0-1,0-0,0-0,0,0,0,0,0,0,0,2,0
Jan. 24,Memphis Grizzlies,4,1-2,0-0,0-0,0,0,0,0,0,0,0,1,2
Jan. 25,Golden State Warriors,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Jan. 27,Phoenix Suns,6,1-3,0-0,0-0,0,0,0,1,0,0,0,0,2
Jan. 30,Utah Jazz,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Feb. 01,Charlotte Bobcats,5,1-1,0-0,0-1,0,1,1,0,0,0,1,1,2
Feb. 02,Sacramento Kings,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Feb. 04,Denver Nuggets,3,0-1,0-0,2-2,0,0,0,0,0,0,1,1,2
Feb. 06,Oklahoma City Thunder,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Feb. 08,Houston Rockets,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Feb. 10,New Orleans Hornets,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Feb. 11,Dallas Mavericks,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Feb. 14,Washington Wizards,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Feb. 15,Golden State Warriors,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
Feb. 16,Los Angeles Clippers,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Feb. 18,Atlanta Hawks,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Feb. 20,Los Angeles Lakers,3,1-1,0-0,0-0,0,1,1,0,1,0,0,0,2
Feb. 21,San Antonio Spurs,8,1-3,0-0,0-0,0,2,2,0,0,0,0,2,2
Feb. 29,Denver Nuggets,10,1-2,0-0,2-2,1,0,1,0,0,1,1,2,4
Mar. 01,Miami Heat,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Mar. 03,Minnesota Timberwolves,1,0-0,0-0,1-2,0,0,0,0,0,1,0,0,1
Mar. 05,New Orleans Hornets,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Mar. 07,Minnesota Timberwolves,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Mar. 09,Boston Celtics,9,2-3,0-0,0-0,3,0,3,0,0,2,1,0,4
Mar. 10,Washington Wizards,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Mar. 13,Indiana Pacers,4,0-0,0-0,0-0,0,1,1,0,0,1,0,1,0
Mar. 14,New York Knicks,9,1-2,0-0,1-1,1,1,2,0,0,0,2,3,3
Mar. 21,Golden State Warriors,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Mar. 22,Los Angeles Clippers,5,0-0,0-0,2-2,0,0,0,0,0,0,1,1,2
Mar. 24,San Antonio Spurs,5,0-0,0-0,0-0,0,2,2,0,0,0,0,0,0
Mar. 26,Los Angeles Clippers,21,4-6,0-0,3-5,2,4,6,0,1,0,2,4,11
Mar. 28,Golden State Warriors,14,1-2,0-0,0-0,0,2,2,0,0,1,2,3,2
Mar. 29,Portland Trail Blazers,9,1-3,0-0,0-0,1,2,3,0,0,0,1,0,2
Mar. 31,Los Angeles Lakers,26,3-7,0-0,0-0,4,4,8,1,4,0,1,4,6
Apr. 01,Phoenix Suns,4,0-0,0-0,0-0,0,1,1,0,0,0,1,1,0
Apr. 04,Denver Nuggets,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Apr. 06,San Antonio Spurs,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Apr. 07,Minnesota Timberwolves,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Apr. 09,Los Angeles Lakers,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Apr. 11,Sacramento Kings,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Apr. 13,Utah Jazz,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Apr. 15,Memphis Grizzlies,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Apr. 16,Charlotte Bobcats,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
