H,AVG,3B,G,2B,CS,SH,SB
104,.257,3,101,22,1,0,4
64,.258,0,75,15,0,4,4
0,--,0,23,0,0,0,0
0,.000,0,9,0,0,0,0
31,.196,0,46,5,3,2,3
3,.429,0,4,1,0,0,0
126,.288,3,112,19,11,11,5
1,.100,0,4,0,0,0,1
116,.298,1,103,15,1,2,0
76,.276,1,79,17,0,3,1
5,.135,0,14,2,0,1,0
34,.266,0,40,9,0,0,0
71,.267,3,86,15,1,0,0
0,--,0,1,0,0,0,0
62,.250,0,68,15,1,2,1
56,.207,0,84,12,0,3,0
111,.288,1,108,28,1,1,1
124,.266,11,132,30,9,13,23
80,.294,3,73,15,6,0,13
94,.254,1,111,31,1,2,1
0,--,0,2,0,0,0,0
92,.271,2,107,14,2,11,5
1,.059,0,9,1,0,1,0
45,.269,1,49,4,0,1,0
6,.300,0,13,1,0,8,0
41,.232,0,49,11,1,0,2
0,.000,0,4,0,0,1,0
1,.333,0,20,0,0,1,0
78,.257,2,92,13,1,3,1
33,.308,0,30,5,0,0,1
143,.278,3,134,19,2,5,21
60,.260,0,72,11,2,1,1
0,.000,0,5,0,0,0,0
1,.167,0,14,0,0,0,0
0,--,0,2,0,0,0,0
0,--,0,7,0,0,0,0
1,.077,0,10,1,0,2,0
41,.204,0,58,12,1,0,0
73,.221,3,106,10,8,12,20
0,.000,0,2,0,0,0,0
76,.277,3,80,12,4,5,5
54,.244,2,65,17,2,4,10
0,--,0,3,0,0,0,0
0,--,0,1,0,0,0,0
0,--,0,20,0,0,0,0
18,.250,1,28,4,0,0,0
79,.227,9,99,18,3,9,11
1,1.000,0,10,0,0,0,0
82,.298,0,79,23,4,0,4
4,.160,0,8,0,0,0,0
0,.000,0,1,0,0,0,0
46,.213,0,68,8,0,1,1
0,.000,0,1,0,0,0,0
131,.267,2,120,39,3,0,4
0,.000,0,16,0,0,1,0
3,.250,0,13,1,0,0,0
83,.336,1,69,13,3,2,11
98,.268,1,92,15,9,4,36
0,--,0,1,0,0,2,0
75,.300,0,66,13,0,3,0
71,.222,0,91,8,2,3,0
0,.000,0,2,0,0,0,0
129,.269,1,128,28,5,8,24
111,.291,1,110,27,0,0,4
0,.000,0,9,0,0,2,0
87,.241,0,101,22,1,1,1
0,.000,0,4,0,0,0,0
124,.253,2,138,25,9,1,13
2,.111,0,8,0,0,0,0
36,.208,0,56,4,3,6,0
0,.000,0,6,0,0,0,0
49,.271,0,50,9,3,0,5
2,.250,0,8,0,0,0,0
66,.289,3,64,12,2,6,10
0,--,0,4,0,0,0,0
0,.000,0,2,0,0,1,0
2,.167,0,3,1,0,0,0
84,.300,2,79,16,3,9,2
68,.251,2,70,13,2,2,8
144,.300,5,130,32,2,4,11
0,.000,0,4,0,0,1,0
56,.280,0,55,18,1,0,2
123,.272,0,123,36,1,0,3
0,.000,0,1,0,0,0,0
57,.254,0,61,12,6,2,2
131,.257,4,131,24,12,17,18
10,.145,0,22,1,0,1,0
60,.244,4,77,11,0,4,6
1,.500,0,19,1,0,0,0
128,.263,2,134,27,7,5,12
13,.361,0,10,4,0,0,0
60,.246,0,70,13,0,1,0
163,.309,0,134,47,4,0,6
0,--,0,8,0,0,0,0
95,.261,2,97,16,4,1,1
37,.303,1,35,3,0,2,0
0,.000,0,15,0,0,0,0
30,.294,0,29,3,0,0,0
6,.316,0,11,1,0,2,0
0,.000,0,12,0,0,0,0
50,.243,2,58,9,0,1,2
0,.000,0,2,0,0,0,0
0,.000,0,15,0,0,0,0
0,.000,0,15,0,0,0,0
0,.000,0,7,0,0,0,0
0,--,0,3,0,0,0,0
15,.484,0,10,3,1,0,1
0,--,0,3,0,0,0,0
16,.242,0,28,4,0,0,2
0,.000,0,23,0,0,0,0
83,.251,5,100,15,8,0,5
67,.284,1,69,14,0,1,0
117,.262,2,126,22,4,0,1
108,.276,3,100,25,2,0,4
4,.364,0,5,0,0,0,0
0,.000,0,1,0,0,0,0
6,.261,0,11,1,0,0,0
1,.111,0,5,0,0,0,0
20,.244,1,20,2,2,1,4
71,.303,0,64,17,0,1,4
10,.175,0,32,3,0,1,0
59,.267,0,58,14,0,0,1
16,.254,2,16,1,3,0,6
2,.200,0,3,1,0,0,0
79,.255,2,83,20,0,2,2
0,--,0,1,0,0,0,0
0,.000,0,1,0,0,0,0
