D,N,C,M
Rodney Ward,287,Riverhead,282
Albany Ward,39,Northcross,27
Albert-Eden-Roskill Ward,633,Epsom Central,637
Franklin Ward,106,Clevedon,101
Manurewa-Papakura Ward,505,Papakura North East,553
Waitakere Ward,349,Royal Heights,347
Manurewa-Papakura Ward,961,Hingaia,930
Manurewa-Papakura Ward,448,Homai West,427
Franklin Ward,316,Ardmore,333
Waitakere Ward,83,Fairdene, 
Albany Ward,912,North Harbour West,529
Manurewa-Papakura Ward,485,Wattle Farm,469
Manurewa-Papakura Ward,417,Drury,405
Whau Ward,713,Avondale South,657
Manukau Ward,1326,Kohuora,1321
Ward,y_2007,Census.Area.Unit,y_2006
North Shore Ward,360,Chelsea,326
Waitemata and Gulf Ward,1328,Freemans Bay,1351
Maungakiekie-Tamaki Ward,41,Panmure Basin,39
Manurewa-Papakura Ward,534,Takanini West,512
Howick Ward,919,Edgewater,918
Waitakere Ward,417,Henderson South,467
Waitemata and Gulf Ward,553,Newmarket,376
North Shore Ward,140,Seacliffe,133
Albany Ward, ,Northcross, 
Manurewa-Papakura Ward,42,Manukau Central,39
North Shore Ward,652,Castor Bay,658
Albert-Eden-Roskill Ward,24,Mt Eden East,29
Rodney Ward,219,Dairy Flat-Redvale,239
