T,I,P,D,J,K
270,Auckland- Waitemata,465,Waitemata and Gulf Ward,432,431
214,Auckland- Henderson-Massey,226,Waitakere Ward,280,274
304,Auckland- Whau,338,Whau Ward, ,35
231,Auckland- Whau,197,Whau Ward,198,216
29,Auckland- Papakura,14,Manurewa-Papakura Ward,29,30
785,Auckland- Howick,754,Howick Ward,714,714
718,Auckland- Kaipatiki,804,North Shore Ward,919,958
31,Auckland- Maungakiekie-Tamaki,66,Maungakiekie-Tamaki Ward,46,50
149,Auckland- Puketapapa,141,Albert-Eden-Roskill Ward,165,159
184,Auckland- Devonport-Takapuna,161,North Shore Ward,155,142
536,Auckland- Devonport-Takapuna,517,North Shore Ward,533,533
594,Auckland- Albert-Eden,516,Albert-Eden-Roskill Ward,484,498
729,Auckland- Albert-Eden,663,Albert-Eden-Roskill Ward,708,650
386,Auckland- Waitemata,331,Waitemata and Gulf Ward,336,328
244,Auckland- Henderson-Massey,324,Waitakere Ward,591,586
463,Auckland- Manurewa,458,Manurewa-Papakura Ward,456,475
457,Auckland- Kaipatiki,476,North Shore Ward,589,606
136,Auckland- Papakura,144,Manurewa-Papakura Ward,127,148
533,Auckland- Waitemata,521,Waitemata and Gulf Ward,1913,1016
116,Auckland- Franklin,121,Franklin Ward,107,98
452,Auckland- Orakei,435,Orakei Ward,458,460
54,Auckland- Puketapapa,55,Albert-Eden-Roskill Ward,63,61
971,Auckland- Otara-Papatoetoe,986,Manukau Ward,885,888
704,Auckland- Howick,614,Howick Ward, , 
342,Auckland- Kaipatiki,328,North Shore Ward,377,349
373,Auckland- Otara-Papatoetoe,366,Manukau Ward,380,367
512,Auckland- Mangere-Otahuhu,457,Manukau Ward,306,355
364,Auckland- Kaipatiki,355,North Shore Ward,343,325
244,Auckland- Rodney,191,Rodney Ward,298,319
193,Auckland- Mangere-Otahuhu,281,Manukau Ward,280,314
90,Auckland- Albert-Eden,92,Albert-Eden-Roskill Ward,138,126
1123,Auckland- Upper Harbour,1198,Albany Ward, , 
415,Auckland- Maungakiekie-Tamaki,427,Maungakiekie-Tamaki Ward,466,446
719,Auckland- Devonport-Takapuna,661,North Shore Ward,688,662
705,Auckland- Howick,704,Howick Ward,708,696
1049,Auckland- Devonport-Takapuna,964,North Shore Ward,914,946
229,Auckland- Henderson-Massey,226,Waitakere Ward,238,236
663,Auckland- Albert-Eden,620,Albert-Eden-Roskill Ward,637,639
880,Auckland- Howick,542,Howick Ward,446,511
620,Auckland- Upper Harbour,645,Albany Ward,533,565
622,Auckland- Whau,554,Whau Ward,597,596
444,Auckland- Howick,377,Howick Ward,341,316
249,Auckland- Rodney,290,Rodney Ward,295,300
825,Auckland- Whau,781,Whau Ward,602,575
211,Auckland- Henderson-Massey,330,Waitakere Ward,439,429
2547,Auckland- Albert-Eden,2432,Albert-Eden-Roskill Ward,2403,2490
361,Auckland- Franklin,331,Franklin Ward,351,353
35,Auckland- Upper Harbour, ,Albany Ward, , 
27,Auckland- Manurewa,24,Manurewa-Papakura Ward, , 
115,Auckland- Upper Harbour,63,Albany Ward, , 
123,Auckland- Franklin,112,Franklin Ward,88,81
41,Auckland- Manurewa,42,Manurewa-Papakura Ward,55,48
1061,Auckland- Orakei,952,Orakei Ward,892,917
611,Auckland- Papakura,508,Manurewa-Papakura Ward,565,560
580,Auckland- Hibiscus and Bays,532,Albany Ward,628,613
293,Auckland- Puketapapa,257,Albert-Eden-Roskill Ward,391,390
1802,Auckland- Howick,1792,Howick Ward, ,311
124,Auckland- Franklin,103,Franklin Ward,110,123
280,Auckland- Otara-Papatoetoe,270,Manukau Ward,316,327
264,Auckland- Franklin,238,Franklin Ward,192,194
323,Auckland- Kaipatiki,352,North Shore Ward,438,406
