SF,POS,AVG,SO,AB,R
0,1B,.182,4,33,5
0,C,.200,6,30,4
3,1B,.276,61,301,39
0,C,.207,4,29,4
0,C,.000,1,4,0
2,3B,.223,108,368,42
5,2B,.247,84,454,61
0,SS,.000,0,1,0
0,SS,.000,1,1,1
0,SS,.294,30,153,27
0,C,.158,4,19,1
4,C,.197,61,234,18
4,SS,.271,125,494,69
0,2B,.204,20,98,8
1,1B,.242,106,475,52
0,C,.339,10,62,10
0,3B,.333,0,3,1
1,SS,.200,12,120,10
0,1B,.400,1,10,1
1,1B,.268,98,489,58
0,1B,.286,1,14,4
1,SS,.293,55,256,46
0,C,.247,67,316,44
0,2B,.271,60,218,35
0,2B,.344,10,32,4
5,1B,.273,102,425,63
2,1B,.232,70,220,22
3,3B,.219,28,146,18
7,C,.277,57,358,42
0,SS,.000,6,11,0
3,3B,.258,47,349,43
0,SS,.190,26,121,12
4,C,.245,16,237,16
0,3B,.249,35,253,20
2,C,.236,62,296,40
6,3B,.261,117,490,60
1,2B,.232,27,177,20
0,C,.148,8,54,5
1,C,.383,18,120,25
1,3B,.206,40,131,9
0,C,.196,20,112,9
4,3B,.239,111,468,52
6,SS,.229,86,424,49
1,2B,.238,14,105,19
0,3B,.137,23,51,3
0,C,.269,11,52,3
3,SS,.231,43,247,33
0,3B,.235,24,98,9
2,2B,.278,35,216,25
6,SS,.236,72,487,58
0,SS,.200,74,315,45
1,2B,.238,4,21,2
0,C,.265,27,102,14
3,C,.272,24,224,19
2,1B,.201,92,314,37
1,SS,.226,16,62,6
0,3B,.000,5,22,0
0,C,.159,21,69,5
1,C,.292,30,168,15
2,C,.251,48,175,21
0,C,.250,2,4,1
2,SS,.233,49,420,45
0,C,.159,16,63,5
4,2B,.263,15,224,32
1,C,.182,6,55,5
0,C,.250,2,16,3
4,SS,.281,66,370,48
3,3B,.253,39,174,23
0,3B,.220,24,168,14
1,C,.199,33,176,19
2,1B,.288,58,243,37
3,2B,.226,43,420,39
0,3B,.132,9,38,3
0,1B,.165,24,103,6
0,2B,.230,17,113,11
7,C,.239,68,368,41
6,1B,.237,63,317,48
0,3B,.059,16,34,0
1,C,.190,42,126,14
0,2B,.248,26,226,26
1,SS,.196,77,368,23
0,2B,.000,2,4,1
3,SS,.236,84,484,45
1,3B,.261,42,157,19
0,3B,.221,45,145,22
