Description,2009,2010,2011,2012,2013,2014,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,Line
All sectors; multifamily residential mortgages; asset,7.0,-4.3,4.0,32.9,37.1,68.0,40.8,51.2,73.2,107.0,86.7,1
Nonfinancial corporate business; multifamily residential mortgages; liability,0.2,-0.2,0.2,1.7,1.7,3.4,2.1,2.5,3.7,5.1,4.2,2
Nonfinancial noncorporate business; multifamily residential mortgages; liability,4.5,-4.5,3.7,32.4,32.1,63.7,40.4,46.7,70.2,97.4,79.4,3
Federal government; multifamily residential mortgages; liability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Equity real estate investment trusts; multifamily residential mortgages; liability,2.3,0.4,0.1,-1.1,3.3,1.0,-1.8,2.1,-0.6,4.4,3.2,5
All sectors; multifamily residential mortgages; asset,7.0,-4.3,4.0,32.9,37.1,68.0,40.8,51.2,73.2,107.0,86.7,6
Households and nonprofit organizations; multifamily residential mortgages; asset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
Nonfinancial corporate business; multifamily residential mortgages; asset,-0.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8
Nonfinancial noncorporate business; multifamily residential mortgages; asset,-0.4,1.5,-2.0,-0.8,0.3,0.6,0.2,0.7,0.5,1.1,0.8,9
Federal government; multifamily residential mortgages; asset,0.1,-0.3,-0.3,-0.3,0.0,-0.6,-0.2,-0.4,-1.0,-0.8,-0.3,10
"State and local governments, excluding employee retirement funds; multifamily residential mortgages; asset",2.2,4.5,-1.0,1.5,0.2,5.1,5.5,8.5,0.4,6.1,15.6,11
U.S.-chartered depository institutions; multifamily residential mortgages; asset,-9.0,-12.2,-6.6,10.2,29.4,38.0,37.7,41.8,34.4,38.1,35.9,12
Foreign banking offices in the U.S.; multifamily residential mortgages; asset,-0.4,-0.5,-0.6,-1.5,-0.4,0.2,-0.5,0.0,0.2,1.0,0.6,13
Life insurance companies; multifamily residential mortgages; asset,-3.2,-1.3,2.1,1.7,2.5,2.8,0.7,2.4,2.9,5.1,2.9,14
Private pension funds; multifamily residential mortgages; asset,0.3,0.4,-0.3,-0.3,-0.3,-0.0,-0.4,0.4,0.4,-0.6,-0.3,15
State and local government employee defined benefit retirement funds; multifamily residential mortgages; asset,-0.8,-0.1,-0.2,-0.3,-0.2,0.1,0.4,0.3,0.1,-0.2,-0.4,16
Government-sponsored enterprises; multifamily residential mortgages; asset,14.2,2.0,2.8,6.2,-21.9,-2.7,-18.5,-18.4,8.6,17.3,25.4,17
Agency-and GSE-backed mortgage pools; multifamily residential mortgages; asset,13.0,11.3,19.4,27.0,33.7,24.3,19.7,22.3,22.5,32.8,14.4,18
Issuers of asset-backed securities; multifamily residential mortgages; asset,-6.1,-8.6,-7.7,-9.6,-5.9,-1.6,-3.1,-6.6,0.2,3.0,-8.4,19
Finance companies; multifamily residential mortgages; asset,-0.7,-0.7,-1.5,-0.8,-0.8,0.1,0.1,0.2,-0.3,0.3,0.0,20
Real estate investment trusts; multifamily residential mortgages; asset,-2.0,-0.3,-0.2,0.1,0.5,1.8,-0.8,0.2,4.3,3.6,0.5,21
