Points/60,Team,Points,G/60,A/60,iFenwick/60,GP,FirstA/60
1.01,San Jose,31,0.39,0.62,8.70,174,0.36
1.28,New Jersey,56,0.85,0.43,14.00,210,0.18
2.33,Toronto,71,1.08,1.25,11.83,136,0.72
0.58,NY Islanders,16,0.11,0.47,7.95,111,0.29
2.08,Pittsburgh,112,0.97,1.12,11.53,208,0.73
1.60,Minnesota,65,0.81,0.79,11.40,189,0.37
0.41,Dallas,12,0.10,0.31,4.73,126,0.14
0.77,NY Rangers,35,0.20,0.57,5.30,170,0.35
1.12,Montreal,35,0.48,0.64,6.92,172,0.48
2.28,Boston,96,0.97,1.31,9.71,198,0.71
0.65,Detroit,22,0.15,0.50,5.11,135,0.23
1.65,NY Rangers,69,0.62,1.03,8.17,195,0.65
0.57,Los Angeles,18,0.03,0.54,5.55,138,0.16
1.86,Buffalo,50,0.82,1.04,9.57,139,0.60
1.25,Pittsburgh,58,0.60,0.65,9.84,211,0.54
1.25,Edmonton,42,0.54,0.71,10.77,163,0.36
1.47,Columbus,36,0.53,0.94,8.29,172,0.41
1.84,Toronto,80,0.81,1.04,9.85,200,0.39
1.97,Toronto,86,0.80,1.17,9.10,195,0.76
1.69,St. Louis,63,0.65,1.05,9.33,159,0.81
0.61,San Jose,38,0.16,0.45,6.30,210,0.22
1.81,Edmonton,80,0.59,1.22,9.23,191,0.64
0.61,Los Angeles,23,0.24,0.37,5.76,133,0.08
0.75,Detroit,31,0.24,0.51,6.17,152,0.19
0.74,San Jose,28,0.13,0.61,5.83,154,0.24
0.81,Detroit,26,0.19,0.62,6.98,144,0.28
1.91,Vancouver,82,0.72,1.19,9.25,211,0.86
1.33,Montreal,40,0.50,0.83,6.16,187,0.53
0.89,Arizona,25,0.21,0.68,6.24,119,0.18
0.66,Carolina,34,0.19,0.46,6.80,196,0.23
1.88,Montreal,67,0.62,1.26,5.67,172,0.73
0.67,Columbus,36,0.19,0.48,4.48,194,0.26
2.10,Detroit,93,0.77,1.33,8.23,193,0.84
1.57,Winnipeg,61,0.64,0.92,7.30,185,0.64
0.86,Philadelphia,25,0.31,0.55,11.02,176,0.41
1.31,Montreal,48,0.44,0.87,6.00,202,0.55
0.57,Los Angeles,34,0.07,0.50,3.34,212,0.22
1.30,Washington,57,0.69,0.62,8.41,208,0.37
0.99,NY Islanders,38,0.13,0.86,5.01,130,0.37
1.45,Boston,58,0.68,0.78,7.94,197,0.43
1.60,St. Louis,73,0.77,0.83,9.83,211,0.46
1.97,Carolina,84,1.06,0.92,13.84,187,0.49
0.52,Winnipeg,21,0.12,0.40,5.64,176,0.20
1.47,Washington,53,0.44,1.03,9.97,172,0.75
1.97,Detroit,87,0.88,1.09,13.57,194,0.77
0.79,Buffalo,37,0.21,0.58,5.36,174,0.36
0.83,Chicago,55,0.11,0.73,6.60,203,0.30
0.54,Minnesota,13,0.00,0.54,4.27,105,0.21
1.88,Pittsburgh,76,0.89,0.99,8.09,183,0.49
2.57,Tampa Bay,142,1.45,1.12,11.97,212,0.72
2.34,Carolina,101,0.97,1.37,14.06,185,0.93
2.12,Philadelphia,52,1.10,1.02,10.19,121,0.45
0.59,Montreal,16,0.15,0.44,4.37,105,0.22
1.53,Washington,39,0.51,1.02,7.33,141,0.59
0.61,Florida,30,0.08,0.53,4.23,181,0.16
0.79,Pittsburgh,32,0.17,0.62,5.67,178,0.25
1.27,Colorado,31,0.58,0.70,8.09,133,0.33
1.18,Edmonton,43,0.33,0.85,8.53,186,0.41
0.91,NY Rangers,28,0.19,0.71,5.82,140,0.29
1.51,Colorado,64,0.52,0.99,8.57,184,0.54
1.70,Calgary,63,0.43,1.27,6.68,180,0.81
0.74,New Jersey,31,0.17,0.58,4.49,157,0.36
2.13,Minnesota,94,0.95,1.18,11.83,202,0.73
0.56,Toronto,15,0.08,0.49,4.75,124,0.23
0.93,Vancouver,51,0.15,0.78,6.09,193,0.29
1.53,Montreal,56,0.82,0.71,13.66,161,0.49
2.28,Buffalo,98,0.93,1.35,10.82,196,0.88
1.72,Arizona,69,0.77,0.94,9.49,197,0.60
1.36,Toronto,65,0.57,0.80,5.93,201,0.44
0.55,NY Islanders,30,0.13,0.42,3.71,183,0.11
2.06,St. Louis,75,0.88,1.18,13.35,155,0.69
2.06,Winnipeg,103,0.84,1.22,11.94,209,0.78
1.71,Ottawa,60,0.77,0.94,11.35,168,0.63
2.14,Pittsburgh,99,1.06,1.08,13.27,199,0.65
2.02,Colorado,89,0.91,1.11,10.62,185,0.66
1.84,Arizona,47,0.67,1.18,13.31,135,0.63
0.85,Florida,38,0.13,0.72,5.50,164,0.36
2.09,NY Rangers,56,0.78,1.31,11.53,112,0.71
