col20,col15,col19,col13
mier,mir,мир,mír
pivo,pivo,бира; пиво,pivo
slo,slv,bul,ces
bik,bik,бик,býk
slo,slv,bul,ces
cibluk,čebula,лук; кромид,cibule
krisxa,streha,покрив,střecha
vugol,oglje,въглен,uhlí
broda,brada,брада,vousy
midlo,milo,сапун,mýdlo
stol,miza,маса,stůl
slo,slv,bul,ces
podbrodok,brada,брада,brada
sliva,sliva,слива,švestka
novju,nov,нов,nový
leov,lev,лъв,lev
papir,papir,хартия,papír
cxlovek,človek,човек,člověk
hleb,kruh,хляб,chléb
belju,bel,бял,bílý
vosx,uš,въшка,veš
prirod,priroda,природа,příroda
svin,svinja; prašič,прасе; свиня,prase
reka,reka,река,řeka
ocx,oko,око,oko
pogod,vreme,време,počasí
molba; molitba,molitev,молитва,modlitba
verblud,kamela; velblod,камила,velbloud
jacxmen,ječmen,ечемик,ječmen
sekund,sekunda,секунда,vteřina; sekunda
pravda,resnica,истина; правда,pravda
jazik,jezik,език,jazyk
dopis,pismo,писмо,dopis
vcxera,včeraj,вчера,včera
nozx,nož,нож,nůž
mlek,mleko,мляко,mléko
slon,slon,слон,slon
ostrov,otok,остров,ostrov
tigr,tiger,тигър,tygr
slo,slv,bul,ces
dom,hiša; dom,къща; дом,dům
svecxa,sveča,свещ,svíčka
vuol,vol,вол,vůl
zerkalo,ogledalo; zrcalo,огледало,zrcadlo
otrava; jad,strup,отрова,jed
noga,noga,крак; нога,noha
priatel; drug,prijatelj,приятел,přítel
ptak,ptica; ptač,птица,pták
slo,slv,bul,ces
ogrod; sad,vrt,градина,zahrada; sad
kot,mačka,котка; мачка,kočka
slo,slv,bul,ces
psxenc,pšenica,пшеница,pšenice
kuhna,kuhinja,кухня,kuchyně
med,med,мед,med
dete,otrok; dete,дете,dítě
sir,sir,сирене,sýr
cxeresx; visxna,češnja,череша; вишна,třešně
kolen,koleno,коляно,koleno
voda,voda,вода,voda
pustinia,pustinja,пустиня,poušť
buria,vihar,буря,bouře
mlodju,mlad,млад,mladý
religia,religija,религия,náboženství
led,led,лед,led
slo,slv,bul,ces
voina,vojska; vojna,война,válka
zxen,ženska,жена,žena
kost,kost,кокал; кост,kost
starju,star,стар,starý
vino,vino,вино,víno
ja,jaz,аз,já
 ,kis; ocet,оцет,ocet
