GmSc,TS%,Tm,Date
0.0, ,IND,1991-04-06
0.0, ,IND,1991-03-01
10.8,.637,IND,1991-03-31
0.0, ,IND,1991-01-02
3.4,.667,IND,1991-02-19
8.0,1.014,IND,1990-11-09
2.9,.500,IND,1991-03-17
2.7,1.000,IND,1991-02-05
0.3,.500,IND,1990-12-12
-0.4,.000,IND,1991-01-15
12.1,1.031,IND,1990-11-24
3.4,.500,IND,1990-12-19
3.0,1.000,IND,1991-02-22
0.0,.500,IND,1991-03-27
0.3,.000,IND,1990-12-15
0.5,.340,IND,1990-11-21
0.3, ,IND,1991-03-14
5.0,.643,IND,1991-02-26
2.4,1.000,IND,1991-01-10
-2.7,.000,IND,1991-01-25
0.9,.333,IND,1991-04-14
0.0, ,IND,1991-01-19
-1.8, ,IND,1990-11-28
10.2,1.020,IND,1990-11-10
0.7,.167,IND,1991-04-09
7.0,.750,IND,1991-01-23
