Fecha,Match,Result,Appearance,MINS,G,A,SHT,SOG,FC,FS,Y,R
10/25/2014,LA @ SEA,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/19/2014,SEA @ LA,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/10/2014,VAN @ SEA,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/5/2014,SEA @ COL,W 4-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/27/2014,CHV @ SEA,W 2-4,Unused Sub,0,0,0,0,0,0,0,0,0
9/24/2014,SEA @ DAL,L 1-3,Unused Sub,0,0,0,0,0,0,0,0,0
9/20/2014,SEA @ NY,L 1-4,Unused Sub,0,0,0,0,0,0,0,0,0
9/12/2014,RSL @ SEA,W 2-3,Unused Sub,0,0,0,0,0,0,0,0,0
9/3/2014,SEA @ CHV,W 4-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/30/2014,COL @ SEA,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/24/2014,SEA @ POR,W 4-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/20/2014,SJ @ SEA,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/16/2014,SEA @ RSL,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/10/2014,HOU @ SEA,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/2/2014,SEA @ SJ,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/28/2014,LA @ SEA,L 3-0,Subbed On,25,0,0,2,1,0,1,0,0
7/13/2014,POR @ SEA,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/5/2014,SEA @ VAN,L 0-1,Subbed On,35,0,0,1,0,1,0,0,0
6/28/2014,SEA @ DC,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
6/7/2014,SEA @ CHI,W 3-2,Unused Sub,0,0,0,0,0,0,0,0,0
5/31/2014,RSL @ SEA,W 0-4,Unused Sub,0,0,0,0,0,0,0,0,0
5/24/2014,SEA @ VAN,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
5/17/2014,SJ @ SEA,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/11/2014,SEA @ NE,L 0-5,Unused Sub,0,0,0,0,0,0,0,0,0
5/7/2014,DAL @ SEA,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
5/3/2014,PHI @ SEA,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
4/26/2014,COL @ SEA,W 1-4,Unused Sub,0,0,0,0,0,0,0,0,0
4/19/2014,SEA @ CHV,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/12/2014,SEA @ DAL,W 3-2,Unused Sub,0,0,0,0,0,0,0,0,0
4/5/2014,SEA @ POR,T 4-4,Unused Sub,0,0,0,0,0,0,0,0,0
3/29/2014,CLB @ SEA,L 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/23/2014,SEA @ MTL,W 2-0,Unused Sub,0,0,0,0,0,0,0,0,0
3/15/2014,TOR @ SEA,L 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/8/2014,KC @ SEA,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/26/2013,POR @ CHV,L 5-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/23/2013,CHV @ RSL,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/6/2013,CHV @ LA,L 0-5,Unused Sub,0,0,0,0,0,0,0,0,0
9/29/2013,SJ @ CHV,L 1-0,Subbed On,20,0,0,1,0,0,0,0,0
9/21/2013,CHV @ HOU,L 1-5,Unused Sub,0,0,0,0,0,0,0,0,0
9/14/2013,POR @ CHV,T 1-1,Subbed On,2,0,0,1,0,0,1,0,0
9/8/2013,DC @ CHV,W 0-1,Subbed On,1,0,0,0,0,0,0,0,0
9/4/2013,CHV @ SEA,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/1/2013,CHV @ VAN,T 2-2,Subbed On,26,0,0,2,0,0,0,0,0
8/25/2013,NY @ CHV,W 2-3,Unused Sub,0,0,0,0,0,0,0,0,0
8/21/2013,DAL @ CHV,L 3-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/11/2013,COL @ CHV,T 1-1,Started,63,0,0,0,0,2,1,0,1
8/3/2013,CHV @ SJ,L 0-2,Started,45,0,0,0,0,0,2,0,0
7/28/2013,CHV @ SEA,L 1-2,Started,82,0,0,1,0,1,3,1,0
7/17/2013,TOR @ CHV,W 0-1,Started,89,0,1,4,1,2,0,0,0
7/12/2013,CHV @ PHI,L 1-3,Unused Sub,0,0,0,0,0,0,0,0,0
7/7/2013,CHV @ MTL,T 1-1,Subbed On,19,0,0,1,1,2,0,0,0
7/4/2013,CHV @ DAL,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
6/29/2013,NE @ CHV,T 1-1,Started,88,0,1,2,0,3,1,1,0
6/23/2013,LA @ CHV,L 1-0,Started,90,0,0,2,0,0,1,0,0
6/19/2013,CHV @ VAN,L 1-3,Started,75,1,0,3,1,2,0,1,0
6/1/2013,SEA @ CHV,L 2-0,Subbed On,20,0,0,1,1,0,0,0,0
5/25/2013,CHV @ COL,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
5/19/2013,RSL @ CHV,L 4-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/12/2013,CHV @ POR,L 0-3,Started,65,0,0,1,0,3,1,0,0
5/5/2013,CHV @ KC,L 0-4,Started,45,0,0,0,0,1,1,0,0
4/27/2013,SJ @ CHV,T 2-2,Started,85,1,0,4,2,1,1,1,0
4/20/2013,CHV @ RSL,L 0-1,Subbed On,24,0,0,0,0,0,1,0,0
4/13/2013,COL @ CHV,L 1-0,Started,58,0,0,1,0,0,1,0,0
3/30/2013,VAN @ CHV,W 1-2,Started,68,0,0,3,1,1,2,0,0
3/24/2013,CHV @ CHI,W 4-1,Started,73,0,0,0,0,4,0,1,0
3/17/2013,CHV @ LA,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/10/2013,DAL @ CHV,W 1-3,Started,45,0,0,3,0,0,1,0,0
3/2/2013,CLB @ CHV,L 3-0,Started,90,0,0,2,0,1,2,1,0
10/28/2012,CHV @ DAL,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/20/2012,COL @ CHV,L 2-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/7/2012,DAL @ CHV,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/3/2012,CHV @ VAN,L 0-4,Unused Sub,0,0,0,0,0,0,0,0,0
9/29/2012,RSL @ CHV,L 4-0,Unused Sub,0,0,0,0,0,0,0,0,0
9/23/2012,CHV @ DC,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
