Age (Mother),Date of Return,Name & Address of Person making Certificate
29,21 Aug 1885,"Bloomfield, Mo."
22,31 Aug 1886,"Dexter, Mo."
-,10 May 1884,"Bloomfield, Mo."
39,30 Jun 1884,"Bloomfield, Mo."
-,7 Feb 1885,"Asherville, Mo."
40,2 Nov 1883,"Essex, Mo."
29,15 Oct 1883,Dexter City
28,2 Feb 1885,"Bloomfield, Mo."
33,30 Jan 1886,"Leora, Mo."
21,31 Aug 1884,"Puxico, Mo."
19,8 Sep 1884,"Bloomfield, Mo."
35,27 Jul 1885,"Malden, Mo."
24,25 Jan 1884,"Dexter, Mo."
20,15 Mar 1884,"Dexter, Mo."
30,-,"Bloomfield, Mo."
27,20 Mar 1885,"Dexter, Mo."
19,18 Jun 1885,"Dexter City, Mo."
25,10 Apr 1886,"Asherville, Mo."
22,12 Dec 1883,"Asherville, Mo."
26,9 Jun 1884,-
21,12 Sep 1884,"Essex, Mo."
25,15 Dec 1883,"Essex, Mo."
39,29 Jun 1884,Bloomfield
19,1885,Stoddard Co.
-,23 Nov 1883,"Leone, Mo."
25,6 Jan 1887,Stoddard Co.
24,13 May 1886,"Asherville, Mo."
33,25 May 1885,"Piketon, Mo."
37,25 Jun 1885,"Bloomfield, Mo."
33,10 May 1884,"Piketon, Mo."
20,7 Mar 1885,"Asherville, Mo."
