oppTAv,NAME,OBP,oppAVG,oppSLG,LG,VORP
0.258,Francisco Liriano,0.355,0.257,0.405,AL,3.9
0.257,Ryan Vogelsong,0.309,0.25,0.395,NL,17.7
0.264,Tommy Hottovy,0.405,0.261,0.417,AL,-1.4
0.258,Jeremy Jeffress,0.438,0.255,0.404,AL,0.4
0.255,Dustin Moseley,0.318,0.244,0.358,NL,-0.0
0.266,Brett Cecil,0.36,0.256,0.42,AL,2.2
0.265,Shawn Kelley,0.312,0.261,0.426,AL,6.0
0.26,Brad Brach,0.305,0.256,0.403,NL,-2.7
0.258,Brian Wilson,0.5,0.259,0.434,NL,0.0
0.263,Esmil Rogers,0.288,0.258,0.413,AL,7.8
0.262,Brayan Villarreal,0.299,0.26,0.407,AL,9.8
0.258,Alfredo Simon,0.348,0.256,0.399,NL,10.0
0.263,Brian Matusz,0.349,0.253,0.411,AL,7.5
0.251,Francisco Cordero,0.404,0.246,0.394,AL,0.4
0.265,Chad Qualls,0.281,0.259,0.41,NL,1.7
0.259,Alex Hinshaw,0.352,0.255,0.403,NL,-1.7
0.254,Shaun Marcum,0.309,0.25,0.385,NL,11.3
0.26,Tommy Hunter,0.337,0.255,0.406,AL,-11.0
0.261,Rafael Dolis,0.386,0.262,0.411,NL,-8.8
0.259,Joe Thatcher,0.338,0.256,0.399,NL,4.7
0.258,Tim Lincecum,0.341,0.255,0.399,NL,1.1
0.264,Nick Hagadone,0.353,0.258,0.408,AL,-0.3
0.26,Matt Cain,0.274,0.255,0.403,NL,31.0
0.262,Chris Hatcher,0.364,0.256,0.408,NL,-2.0
0.272,Miguel Batista,0.292,0.264,0.446,NL,-0.4
0.258,Scott Atchison,0.256,0.249,0.403,AL,7.7
0.26,Guillermo Moscoso,0.378,0.252,0.399,NL,4.4
0.259,Adam Wilk,0.436,0.255,0.408,AL,-0.7
0.266,David Hernandez,0.263,0.259,0.413,NL,16.5
0.266,Mike Ekstrom,0.333,0.263,0.41,NL,3.1
0.259,Troy Patton,0.263,0.251,0.401,AL,9.4
0.262,Bruce Chen,0.328,0.259,0.416,AL,19.3
0.261,Will Smith,0.368,0.255,0.401,AL,4.7
0.277,Josh Lueke,0.571,0.267,0.45,AL,-0.4
0.241,D.j. Carrasco,0.389,0.226,0.354,NL,-2.0
0.256,Tim Dillard,0.366,0.253,0.397,NL,5.7
0.258,Zach Phillips,0.357,0.247,0.397,AL,-1.3
0.257,Bryan Morris,0.25,0.247,0.407,NL,0.8
0.254,Chris Young,0.324,0.25,0.392,NL,16.3
0.256,Anthony Bass,0.315,0.256,0.401,NL,-1.0
0.264,Tony Watson,0.286,0.26,0.413,NL,2.8
0.255,J.c. Romero,0.381,0.262,0.401,AL,-0.8
0.263,Justin Verlander,0.27,0.257,0.414,AL,54.4
0.237,Joe Mather,0.5,0.227,0.378,NL,-4.9
0.261,Brandon Morrow,0.28,0.251,0.406,AL,21.0
0.272,Brian Sanches,0.441,0.26,0.423,NL,-5.0
0.263,John Axford,0.33,0.257,0.408,NL,7.3
0.264,Andrew Carpenter,0.325,0.243,0.403,AL,-2.0
0.256,Chris Archer,0.306,0.258,0.415,AL,1.2
0.263,Jeremy Affeldt,0.316,0.257,0.406,NL,4.6
0.263,Luis Mendoza,0.348,0.259,0.413,AL,7.1
0.257,Jordan Zimmermann,0.297,0.254,0.398,NL,35.0
0.263,Mark Melancon,0.311,0.256,0.412,AL,-2.6
0.261,Josh Tomlin,0.342,0.256,0.409,AL,-5.3
0.256,Robert Coello,0.455,0.256,0.405,AL,0.0
0.272,Jeremy Accardo,0.4,0.268,0.437,AL,0.6
0.261,Miguel Socolovich,0.28,0.258,0.395,NL,0.1
0.258,Cory Gearrin,0.3,0.243,0.392,NL,1.9
0.256,Jeff Mathis,0.455,0.246,0.408,AL,0.8
0.269,Hisashi Iwakuma,0.315,0.263,0.423,AL,-2.4
0.246,Scott Maine,0.515,0.254,0.388,AL,-1.3
0.264,Alfredo Aceves,0.326,0.252,0.412,AL,1.3
0.252,Johan Santana,0.315,0.244,0.391,NL,12.9
0.255,Burke Badenhop,0.292,0.248,0.397,AL,3.7
0.26,Evan Scribner,0.284,0.255,0.405,AL,4.7
0.26,Jordan Walden,0.308,0.252,0.407,AL,5.2
0.255,Brandon Dickson,0.375,0.24,0.389,NL,-0.4
0.267,Felipe Paulino,0.297,0.257,0.432,AL,8.2
0.265,Logan Ondrusek,0.351,0.261,0.416,NL,-3.7
0.261,J.p. Howell,0.323,0.25,0.404,AL,-1.0
0.262,Brian Duensing,0.33,0.255,0.411,AL,11.0
0.256,Marco Estrada,0.285,0.251,0.401,NL,21.6
0.264,Jake Mcgee,0.213,0.252,0.415,AL,14.9
0.262,Brett Myers,0.323,0.258,0.409,NL,-0.6
