DRtg,MP,Date,eFG%,Age
115,4:00,1994-12-15,.500,26-174
100,13:00,1995-02-14,.667,26-235
116,13:00,1994-12-26,.125,26-185
116,3:00,1995-01-03,.000,26-193
112,12:00,1995-02-08,.250,26-229
96,16:00,1994-12-06,.571,26-165
136,11:00,1995-03-16,.500,26-265
91,3:00,1994-12-08,1.000,26-167
122,11:00,1995-01-22,.667,26-212
112,1:00,1995-03-09, ,26-258
103,14:00,1995-02-27,.625,26-248
105,24:00,1995-02-04,.750,26-225
101,16:00,1994-12-03,.556,26-162
113,9:00,1994-12-17,.500,26-176
96,11:00,1995-03-14,.429,26-263
-37,1:00,1994-12-02,.500,26-161
95,3:00,1994-12-10,1.000,26-169
114,7:00,1995-03-12,1.000,26-261
97,14:00,1995-01-13,.667,26-203
68,3:00,1994-11-04, ,26-133
105,5:00,1995-01-15,.600,26-205
100,8:00,1995-03-01,.400,26-250
107,5:00,1994-12-11,1.000,26-170
101,11:00,1995-01-05,.500,26-195
113,9:00,1995-01-11,1.000,26-201
117,5:00,1995-02-20,.000,26-241
121,7:00,1995-01-19,1.000,26-209
112,6:00,1994-12-23,.500,26-182
