Year,Team,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SB,CS,SH,SF,TB,Avg.,Slg.,OBP
2004,Gulf Coast (Rookie),47,151,21,28,3,1,1,12,15,0,49,3,8,2,0,0,36,0.185,0.238,0.272
2005,Gulf Coast (Rookie),33,117,23,30,7,1,1,21,17,1,36,2,8,1,1,2,42,0.256,0.359,0.355
2005,St. Lucie (A),6,16,4,5,1,0,0,3,2,0,6,1,0,0,2,0,6,0.313,0.375,0.421
2006,Kingsport (Rookie),56,185,29,52,17,4,7,35,23,1,49,2,5,2,2,2,98,0.281,0.53,0.363
2007,Savannah (A),87,306,40,95,20,4,10,39,19,0,79,0,11,4,2,2,153,0.31,0.5,0.349
2008,Gulf Coast (Rookie),5,18,4,6,3,0,0,3,2,0,1,0,1,0,0,0,9,0.333,0.5,0.4
2008,St. Lucie (A),75,272,18,63,11,0,5,30,15,0,76,5,6,1,1,0,89,0.232,0.327,0.284
2009,St. Lucie (A),122,410,62,112,19,3,18,73,43,0,126,7,13,4,2,6,191,0.273,0.466,0.348
2010,St. Lucie (A),31,123,18,34,6,0,7,18,10,--,48,--,2,2,0,2,61,0.276,0.496,0.331
2010,Binghamton (AA),74,250,40,71,19,4,14,38,19,--,84,--,6,2,3,1,140,0.284,0.56,0.348
2011,Binghamton (AA),131,477,64,106,16,5,28,74,38,--,146,--,8,5,0,6,216,0.222,0.453,0.285
