Player,AB,SF,OPS,SO,HR,CS,GIDP
R Andino,24,2,0.394,6,0,0,0
L Gonzalez,149,1,0.625,27,2,1,3
R Durham,498,2,0.898,61,26,2,17
R Belliard,194,0,0.666,36,5,3,9
O Quintanilla,34,0,0.508,9,0,1,1
J Castillo,518,6,0.682,98,14,4,22
D Eckstein,500,3,0.694,41,2,6,7
E Renteria,598,2,0.797,89,14,6,17
A Amezaga,334,1,0.664,46,3,12,5
J Hairston,82,0,0.497,14,0,0,1
H Mateo,26,0,0.56,3,1,0,1
D Sandoval,38,1,0.516,3,0,0,2
R Weeks,359,3,0.766,92,8,5,6
D Uggla,611,8,0.818,123,27,6,5
A Green,86,0,0.56,20,1,0,0
K Greene,412,2,0.747,87,15,1,15
J Hardy,128,1,0.693,23,5,1,4
B Harris,42,0,0.676,7,1,0,2
M Prado,42,0,0.745,7,1,0,2
T Graffanino,236,1,0.747,37,2,0,6
B Hall,537,4,0.899,162,35,9,12
J Lugo,146,3,0.545,29,0,5,2
J Thurston,18,0,0.578,2,0,0,0
R Aurilia,440,4,0.867,51,23,0,10
T Womack,68,0,0.695,7,1,1,0
T De La Rosa,16,0,0.665,3,0,0,0
O Vizquel,579,5,0.749,51,4,7,13
F Lopez,617,3,0.739,126,11,12,9
C Biggio,548,5,0.727,84,21,2,15
S Drew,209,1,0.874,50,5,0,1
R Martinez,176,0,0.702,20,2,0,9
T Tulowitzki,96,0,0.609,25,1,0,1
J Valentin,384,6,0.82,71,18,2,5
R Olmedo,44,0,0.589,4,1,0,0
M Dorta,19,0,0.513,2,0,2,0
J Wilson,543,5,0.686,65,8,3,15
