Year,Age,Lg,Tm,G,GS,IP,K/9,BB/9,K/BB,HR/9,GB/FB Ratio,Strand %,Fastball,ERA,FIP,BABIP
2004,24.0,AA,NEW,54,0,65.3,7.85,2.48,3.17,0.69,–,69.8%,–,3.31,3.32,0.261
2004,24.0,AAA,ROC,0,0,0.0,0.0,0.0,0.0,0.0,–,0%,–,999.99,0.0,0.0
2005,25.0,AA,NEW,2,0,1.3,6.75,6.75,1.0,0.0,–,66.7%,–,6.75,3.95,0.42
2006,26.0,AA,NEW,16,0,25.0,5.04,4.68,1.08,0.36,–,80.5%,–,3.24,4.28,0.331
2006,26.0,AAA,ROC,34,0,51.3,4.91,2.81,1.75,0.7,–,76.6%,–,3.33,4.06,0.291
2006,26.0,AAA,ROC,0,0,0.0,0.0,0.0,0.0,0.0,–,0%,–,999.99,0.0,0.0
2007,27.0,AAA,ROC,66,0,85.0,7.52,3.6,2.09,0.53,–,72.5%,–,3.71,3.49,0.308
2007,27.0,AAA,ROC,0,0,0.0,0.0,0.0,0.0,0.0,–,0%,–,999.99,0.0,0.0
2008,28.0,AAA,ROC,53,0,74.3,8.6,2.66,3.23,0.36,–,75.3%,–,2.91,2.74,0.312
2008,28.0,MAJ,MIN,16,0,17.7,3.06,4.08,0.75,1.02,1.37,72%,91.4 MPH,4.58,5.4,0.28
2009,29.0,AAA,REN,27,0,30.0,7.5,0.9,8.33,0.3,–,78.6%,–,2.1,2.27,0.296
2009,29.0,MAJ,ARI,5,0,6.0,4.5,6.0,0.75,0.0,0.88,40%,90.7 MPH,13.5,4.27,0.441
2011,31.0,AA,NEW,9,0,39.2,9.18,2.3,4.0,0.69,–,77.1%,–,2.5,3.07,0.262
2011,31.0,AAA,LAS,9,0,13.1,7.56,4.12,1.83,0.0,–,88.9%,–,0.68,2.89,0.104
2012,32.0,AAA,LAS,46,2,86.1,4.91,1.99,2.47,1.05,–,76.5%,–,3.44,4.49,0.287
2012,32.0,MAJ,TOR,1,0,1.0,0.0,9.0,0.0,9.0,3.00,0%,86.9 MPH,18.0,19.2,0.0
2013,33.0,AAA,BUF,26,2,56.2,6.25,2.4,2.6,1.44,–,74.7%,–,4.45,4.75,0.334
2014,34.0,AAA,BUF,55,0,64.0,8.44,2.53,3.33,0.42,–,82.3%,–,1.97,2.87,0.268
2014,34.0,MAJ,TOR,2,0,3.3,5.4,2.7,2.0,0.0,2.50,40%,90.0 MPH,8.1,2.9,0.351
2015,35.0,AAA,BUF,36,0,36.0,7.25,2.75,2.64,0.75,–,76%,–,3.75,3.67,0.35
3-Year Averages, , , ,1,0,2.2,4.15,4.15,1.0,0.0,–,33.3%,–,8.31,3.66,0.281
Career, , , ,24,0,28.0,3.54,4.5,0.79,0.96,–,56.5%,–,7.39,5.36,0.32
