oppOBP,oppOPS,NAME,LG,YEAR,AGE,OBP,VORP,#
0.323,0.739,Felix Hernandez,AL,2012,26,0.296,35.8,668.0
0.309,0.706,Travis Wood,NL,2012,25,0.305,6.7,155.0
0.317,0.714,Jose Valdez,NL,2012,29,0.37,1.7,205.0
0.314,0.708,Ryan Perry,NL,2012,25,0.4,-1.9,267.0
0.314,0.714,Mark Lowe,AL,2012,29,0.296,1.6,232.0
0.321,0.724,Dana Eveland,AL,2012,28,0.345,-1.9,567.0
0.31,0.706,Brandon Beachy,NL,2012,25,0.248,10.1,78.0
0.313,0.715,David Robertson,AL,2012,27,0.29,14.2,225.0
0.322,0.734,Brad Ziegler,NL,2012,32,0.291,2.2,514.0
0.354,0.852,Daniel Mccutchen,NL,2012,29,1.0,-1.7,722.0
0.316,0.731,Tyler Cloyd,NL,2012,25,0.309,-0.2,410.0
0.31,0.695,Shaun Marcum,NL,2012,30,0.309,11.3,84.0
0.316,0.726,Elvin Ramirez,NL,2012,24,0.431,0.6,344.0
0.313,0.717,Kevin Correia,NL,2012,31,0.315,-6.4,174.0
0.315,0.708,Jordan Norberto,AL,2012,25,0.284,5.8,296.0
0.326,0.727,Will Ohman,AL,2012,34,0.304,-4.9,377.0
0.331,0.768,Jeremy Accardo,AL,2012,30,0.4,0.6,696.0
0.321,0.736,Clay Hensley,NL,2012,32,0.361,-1.3,520.0
0.301,0.674,Jamie Moyer,NL,2012,49,0.38,4.0,38.0
0.314,0.7,Tyler Chatwood,NL,2012,22,0.369,1.2,236.0
0.315,0.714,Tom Gorzelanny,NL,2012,29,0.32,5.1,159.0
0.323,0.73,Phil Coke,AL,2012,29,0.375,9.6,416.0
0.321,0.731,Stephen Pryor,AL,2012,22,0.343,-3.1,554.0
0.321,0.716,Miguel Socolovich,NL,2012,25,0.28,0.1,371.0
0.318,0.721,Alex Hinshaw,NL,2012,29,0.352,-1.7,265.0
0.321,0.735,Tyler Thornburg,NL,2012,23,0.34,-0.1,588.0
0.318,0.724,Glen Perkins,AL,2012,29,0.273,11.1,284.0
0.315,0.726,Michael Bowden,NL,2012,25,0.311,1.4,351.0
0.315,0.723,Joe Smith,AL,2012,28,0.289,3.8,300.0
0.308,0.702,Andy Pettitte,AL,2012,40,0.286,12.1,65.0
0.31,0.707,Cliff Lee,NL,2012,33,0.278,37.4,96.0
0.324,0.737,Scott Barnes,AL,2012,24,0.329,2.2,636.0
0.322,0.736,Grant Balfour,AL,2012,34,0.242,6.3,587.0
0.308,0.682,Drew Butera,AL,2012,28,0.25,-1.5,23.0
0.314,0.72,Matt Moore,AL,2012,23,0.326,24.3,290.0
0.316,0.71,George Kontos,NL,2012,27,0.26,3.9,324.0
0.325,0.744,Heath Bell,NL,2012,34,0.357,2.1,628.0
0.32,0.723,Charlie Morton,NL,2012,28,0.344,-3.6,289.0
0.321,0.733,Jenrry Mejia,NL,2012,22,0.397,-0.2,500.0
0.331,0.759,Ronald Belisario,NL,2012,29,0.281,2.9,691.0
0.318,0.728,Mariano Rivera,AL,2012,42,0.25,2.3,251.0
0.32,0.731,Yu Darvish,AL,2012,25,0.313,31.0,592.0
0.318,0.726,Brandon Mccarthy,AL,2012,28,0.313,12.0,396.0
0.314,0.723,Justin Germano,NL,2012,29,0.368,1.6,309.0
0.324,0.737,David Hernandez,NL,2012,27,0.263,16.5,624.0
0.303,0.66,Steven Geltz,AL,2012,24,0.455,-0.5,29.0
0.298,0.687,Brandon Dickson,NL,2012,27,0.375,-0.4,101.0
0.325,0.736,Sean Marshall,NL,2012,29,0.289,14.1,634.0
0.324,0.738,Doug Fister,AL,2012,28,0.299,21.9,427.0
0.265,0.599,Dylan Bundy,AL,2012,19,0.333,-0.2,4.0
0.331,0.752,Brian Fuentes,NL,2012,36,0.423,-0.8,681.0
0.319,0.735,Jeurys Familia,NL,2012,22,0.365,0.6,589.0
0.348,0.786,Paco Rodriguez,NL,2012,21,0.269,0.8,715.0
0.319,0.713,Juan Cruz,NL,2012,33,0.381,2.4,203.0
0.325,0.741,P.j. Walters,AL,2012,27,0.356,-1.1,372.0
0.322,0.733,Marc Rzepczynski,NL,2012,26,0.321,-4.5,461.0
0.313,0.682,Rich Thompson,AL,2012,27,0.462,-0.4,19.0
0.311,0.706,David Carpenter,AL,2012,26,0.55,-0.9,220.0
0.311,0.703,J.j. Hoover,NL,2012,24,0.248,4.5,57.0
0.318,0.718,Ryan Webb,NL,2012,26,0.356,7.9,378.0
0.32,0.736,Manny Corpas,NL,2012,29,0.348,-1.4,453.0
0.313,0.715,Livan Hernandez,NL,2012,37,0.366,0.3,207.0
0.32,0.73,J.c. Romero,NL,2012,36,0.415,-2.9,275.0
0.326,0.749,Hisashi Iwakuma,AL,2012,31,0.315,-2.4,680.0
0.327,0.749,Sergio Romo,NL,2012,29,0.235,7.3,655.0
0.309,0.704,Wade Miley,NL,2012,25,0.29,28.2,106.0
0.321,0.718,Justin De Fratus,NL,2012,24,0.273,1.1,417.0
0.322,0.727,Anibal Sanchez,AL,2012,28,0.314,10.3,384.0
0.32,0.725,David Carpenter,AL,2012,24,0.347,-2.0,502.0
0.319,0.729,Brett Myers,NL,2012,31,0.323,-0.6,458.0
0.305,0.705,Justin Thomas,AL,2012,28,0.52,0.6,51.0
0.329,0.738,Jairo Asencio,NL,2012,29,0.343,-0.9,578.0
0.317,0.724,Jonathan Broxton,AL,2012,28,0.349,0.5,368.0
0.322,0.735,Casey Fien,AL,2012,28,0.25,4.1,496.0
0.327,0.748,Steve Cishek,NL,2012,26,0.327,7.1,649.0
0.323,0.73,Brayan Villarreal,AL,2012,25,0.299,9.8,420.0
0.323,0.745,Chris Seddon,AL,2012,28,0.327,3.2,579.0
0.321,0.727,Brad Boxberger,NL,2012,24,0.35,-0.5,385.0
0.328,0.74,Jesse Chavez,AL,2012,28,0.524,-1.1,577.0
0.332,0.773,Justin Germano,AL,2012,29,0.292,2.8,712.0
0.317,0.72,Jim Johnson,AL,2012,29,0.272,6.8,330.0
0.29,0.648,Jhan Marinez,AL,2012,23,0.4,-0.3,6.0
0.316,0.72,Chris Tillman,AL,2012,24,0.263,7.9,366.0
0.317,0.722,Lucas Harrell,NL,2012,27,0.322,0.3,361.0
0.324,0.737,Tony Watson,NL,2012,27,0.286,2.8,557.0
0.302,0.699,Chris Davis,AL,2012,26,0.375,18.7,98.0
0.321,0.714,Deunte Heath,AL,2012,26,0.286,-0.8,336.0
0.314,0.721,Mike Minor,NL,2012,24,0.294,3.9,304.0
0.311,0.706,Livan Hernandez,NL,2012,37,0.344,-3.7,152.0
0.312,0.709,Neftali Feliz,AL,2012,24,0.303,0.6,95.0
0.315,0.716,Bud Norris,NL,2012,27,0.329,15.7,249.0
0.321,0.736,Luke Hochevar,AL,2012,28,0.347,6.0,488.0
0.319,0.726,John Danks,AL,2012,27,0.345,-0.4,333.0
0.303,0.671,Juan Nicasio,NL,2012,25,0.374,7.8,27.0
0.312,0.708,Dillon Gee,NL,2012,26,0.311,13.6,122.0
0.321,0.734,Tom Wilhelmsen,AL,2012,28,0.277,12.2,621.0
0.321,0.729,Drew Smyly,AL,2012,23,0.309,14.5,429.0
0.321,0.732,Michael Schwimer,NL,2012,26,0.333,3.2,462.0
0.321,0.729,Nathan Eovaldi,NL,2012,22,0.352,1.2,501.0
0.307,0.702,Ross Ohlendorf,NL,2012,29,0.38,1.5,77.0
0.322,0.741,Ernesto Frieri,AL,2012,26,0.261,8.4,633.0
0.32,0.733,Hector Noesi,AL,2012,25,0.329,-10.3,574.0
0.325,0.74,Robert Carson,NL,2012,23,0.339,-1.4,469.0
0.307,0.703,Erik Bedard,NL,2012,33,0.341,9.1,72.0
0.312,0.698,Ben Sheets,NL,2012,33,0.325,4.4,219.0
0.306,0.682,Travis Blackley,NL,2012,29,0.391,-1.0,28.0
0.321,0.727,Tim Collins,AL,2012,22,0.312,10.0,451.0
0.314,0.712,Cc Sabathia,AL,2012,31,0.285,32.5,165.0
0.32,0.736,Ubaldo Jimenez,AL,2012,28,0.365,7.0,485.0
0.309,0.705,Cole Hamels,NL,2012,28,0.285,39.5,82.0
0.327,0.741,Josh Beckett,NL,2012,32,0.315,2.7,555.0
0.325,0.735,Jonny Venters,NL,2012,27,0.363,5.1,630.0
0.327,0.743,Edward Mujica,NL,2012,28,0.24,2.9,647.0
0.318,0.725,Hiroki Kuroda,AL,2012,37,0.299,19.5,356.0
0.316,0.754,Nick Maronde,AL,2012,22,0.333,0.9,707.0
0.32,0.743,Mickey Storey,NL,2012,26,0.304,4.9,638.0
0.32,0.723,J.j. Putz,NL,2012,35,0.269,10.7,407.0
0.317,0.731,Luke Putkonen,AL,2012,26,0.38,1.2,317.0
0.311,0.712,Wade Davis,AL,2012,26,0.271,15.2,138.0
0.308,0.692,Stephen Strasburg,NL,2012,23,0.291,43.4,53.0
0.317,0.714,Kyle Weiland,NL,2012,25,0.392,-3.6,415.0
0.314,0.712,Jordan Zimmermann,NL,2012,26,0.297,35.0,183.0
0.323,0.741,Leyson Septimo,AL,2012,26,0.259,-3.0,563.0
0.312,0.72,Cody Eppley,AL,2012,26,0.332,6.6,226.0
0.323,0.733,Joe Paterson,NL,2012,26,0.692,-3.1,614.0
0.32,0.73,Sean Doolittle,AL,2012,25,0.27,13.5,575.0
0.315,0.696,Francisley Bueno,AL,2012,31,0.275,2.1,68.0
0.31,0.708,Adam Wainwright,NL,2012,30,0.309,28.4,158.0
0.312,0.702,Justin Hampson,NL,2012,32,0.306,0.1,193.0
0.323,0.736,Brandon Lyon,NL,2012,32,0.325,5.6,481.0
0.324,0.731,Edward Mujica,NL,2012,28,0.286,-4.0,594.0
0.331,0.734,Randy Choate,NL,2012,36,0.381,-2.0,662.0
0.316,0.729,Jeff Suppan,NL,2012,37,0.351,-4.2,380.0
0.312,0.707,Luis Avilan,NL,2012,22,0.273,6.5,151.0
0.324,0.736,Matt Thornton,AL,2012,35,0.313,5.1,522.0
0.313,0.722,Adam Wilk,AL,2012,24,0.436,-0.7,258.0
0.334,0.763,Drew Storen,NL,2012,24,0.267,6.7,705.0
0.311,0.713,Chris Capuano,NL,2012,33,0.305,14.1,156.0
0.319,0.73,Jason Motte,NL,2012,30,0.245,6.5,367.0
0.314,0.672,Brad Hand,NL,2012,22,0.522,-1.7,59.0
0.316,0.726,Kevin Jepsen,AL,2012,27,0.303,5.2,421.0
0.321,0.734,Justin Verlander,AL,2012,29,0.27,54.4,463.0
0.32,0.742,Alberto Cabrera,NL,2012,23,0.357,1.2,582.0
0.311,0.707,Alexi Ogando,AL,2012,28,0.259,6.8,326.0
0.309,0.685,Trevor Bauer,NL,2012,21,0.368,-1.4,80.0
0.311,0.704,Drew Pomeranz,NL,2012,23,0.345,12.8,181.0
0.312,0.704,Cory Gearrin,NL,2012,26,0.3,1.9,238.0
0.316,0.736,Jesse Chavez,AL,2012,28,0.363,-3.1,570.0
0.325,0.702,Rubby De La Rosa,NL,2012,23,0.5,-0.6,650.0
0.327,0.743,Joel Carreno,AL,2012,25,0.371,-5.3,569.0
0.33,0.777,Miguel Batista,NL,2012,41,0.292,-0.4,698.0
0.343,0.714,Mitch Maier,AL,2012,30,0.333,-1.1,217.0
0.314,0.726,Aaron Laffey,AL,2012,27,0.333,-6.7,331.0
0.316,0.717,J.c. Romero,AL,2012,36,0.381,-0.8,123.0
0.317,0.733,Vin Mazzaro,AL,2012,25,0.391,3.2,506.0
0.321,0.727,Jake Peavy,AL,2012,31,0.284,24.7,347.0
0.316,0.725,Casey Janssen,AL,2012,30,0.241,11.7,335.0
0.309,0.703,Josh Spence,NL,2012,24,0.375,1.2,44.0
0.313,0.708,James Mcdonald,NL,2012,27,0.311,15.5,160.0
0.314,0.717,Brad Lincoln,NL,2012,27,0.278,10.7,179.0
0.31,0.704,Homer Bailey,NL,2012,26,0.306,20.5,162.0
0.326,0.742,Logan Ondrusek,NL,2012,27,0.351,-3.7,607.0
0.313,0.728,Sam Demel,NL,2012,26,0.6,-0.1,354.0
0.322,0.734,Joaquin Benoit,AL,2012,34,0.288,7.9,477.0
0.32,0.722,Luis Perdomo,AL,2012,28,0.372,-2.0,257.0
0.314,0.713,Casey Coleman,NL,2012,24,0.415,-3.9,245.0
0.298,0.679,Fautino De Los Santos,AL,2012,26,0.5,0.1,147.0
0.32,0.732,Mark Melancon,AL,2012,27,0.311,-2.6,486.0
0.315,0.718,Jeremy Jeffress,AL,2012,24,0.438,0.4,227.0
0.325,0.749,J.a. Happ,AL,2012,29,0.315,13.2,659.0
0.313,0.714,Louis Coleman,AL,2012,26,0.318,-1.4,188.0
0.32,0.735,Justin Masterson,AL,2012,27,0.348,0.7,504.0
0.319,0.718,Michael Gonzalez,NL,2012,34,0.318,7.5,210.0
0.33,0.747,Tommy Hottovy,AL,2012,30,0.405,-1.4,561.0
0.316,0.73,Joba Chamberlain,AL,2012,26,0.358,3.5,339.0
0.326,0.74,Wesley Wright,NL,2012,27,0.306,0.3,619.0
0.318,0.73,Luis Ayala,AL,2012,34,0.311,9.9,455.0
0.315,0.716,Kyle Kendrick,NL,2012,27,0.315,10.2,279.0
0.319,0.736,Jeff Gray,AL,2012,30,0.356,-8.7,515.0
0.318,0.721,Kevin Gregg,AL,2012,34,0.385,-3.7,464.0
0.317,0.729,Jason Frasor,AL,2012,34,0.347,1.5,414.0
0.321,0.733,Jonathan Broxton,NL,2012,28,0.276,5.2,529.0
0.319,0.724,Francisco Liriano,AL,2012,28,0.355,3.9,212.0
0.322,0.726,Brian Fuentes,AL,2012,36,0.357,-1.2,435.0
0.314,0.721,Jeff Karstens,NL,2012,29,0.288,9.5,260.0
0.321,0.729,Nick Hagadone,AL,2012,26,0.353,-0.3,550.0
0.319,0.724,Franklin Morales,AL,2012,26,0.308,7.8,411.0
0.317,0.752,Phillippe Aumont,NL,2012,23,0.317,2.2,528.0
0.317,0.717,Alfredo Simon,NL,2012,31,0.348,10.0,242.0
0.307,0.695,R.a. Dickey,NL,2012,37,0.278,30.6,58.0
0.323,0.737,Gavin Floyd,AL,2012,29,0.337,13.1,531.0
0.308,0.695,Mike Leake,NL,2012,24,0.326,13.5,89.0
