ORB%,MP,DRB%,TS%,Opp,G,Date,eFG%,TRB%
5.0,22:20,23.0,.450,PHI,51,2006-04-19,.500,12.1
6.5,16:53,17.8,.600,NYK,7,2005-11-23,.600,11.2
13.3,27:45,30.5,.666,NYK,50,2006-04-17,.727,21.3
8.6,11:12,45.1,.512,SAC,8,2005-11-29,.375,24.4
0.0,13:16,10.3,.600,UTA,28,2006-03-01,.600,5.2
5.8,19:41,26.4,.571,LAC,27,2006-02-27,.571,15.4
0.0,7:26,15.0,.000,DAL,29,2006-03-03,.000,6.9
15.5,24:48,30.6,.269,WAS,35,2006-03-15,.286,22.0
17.8,20:11,6.4,.286,MIA,15,2006-01-27,.286,12.4
0.0,14:10,7.9,.400,ORL,3,2005-11-15,.400,3.9
20.8,8:07,0.0,.258,BOS,10,2006-01-04,.000,14.1
5.5,16:36,9.3,.429,MIA,2,2005-11-12,.429,6.9
0.0,17:21,0.0,.667,ATL,18,2006-02-01,.667,0.0
0.0,20:38,41.8,.500,MEM,47,2006-04-12,.500,19.6
0.0,24:03,13.6,.333,NJN,24,2006-02-15,.333,7.3
5.6,18:07,24.8,.429,SAS,13,2006-01-24,.429,13.4
24.3,23:56,20.7,.750,DET,36,2006-03-18,.750,22.6
8.2,15:45,20.3,.000,HOU,14,2006-01-25,.000,14.9
22.0,25:40,30.3,1.000,CLE,17,2006-01-30,1.000,25.5
13.4,8:21,0.0,.868,WAS,34,2006-03-14,1.000,7.4
8.4,17:20,7.5,.000,ATL,48,2006-04-14,.000,7.9
10.9,12:35,10.6,.600,SEA,20,2006-02-06,.600,10.7
11.5,16:21,35.8,.340,NJN,45,2006-04-06,.200,22.3
18.5,29:38,12.1,.686,ATL,41,2006-03-28,.625,15.1
8.9,12:31,29.5,.250,WAS,16,2006-01-28,.250,18.7
10.1,27:44,8.1,.556,IND,49,2006-04-15,.556,9.2
7.5,15:41,14.6,.000,MIN,44,2006-04-04,.000,11.1
0.0,9:31,0.0,.000,NYK,32,2006-03-11,.000,0.0
