Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 1,at Barry University (Fla.),"L, 10-5",-,-,-,-,-,-,-,-,-,-,-
Feb 2,at Barry University (Fla.),"L, 7-6",0,0,0,-,-,-,0,-,-,-,-
Feb 3,at Barry University (Fla.),"L, 17-1",-,-,-,-,-,-,-,-,-,-,-
Feb 6,Shorter University,"W, 2-1",0,0,0,-,-,-,0,-,-,-,-
Feb 9,West Alabama,"W, 6-5",-,-,-,-,-,-,-,-,-,-,-
Feb 9,West Alabama,"L, 11-1",-,-,-,-,-,-,-,-,-,-,-
Feb 10,West Alabama,"L, 4-2",-,-,-,-,-,-,-,-,-,-,-
Feb 16,at University of Montevallo,"L, 7-0",0,0,0,-,-,-,0,-,-,-,-
Feb 16,at University of Montevallo,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-
Feb 17,at University of Montevallo,"L, 13-3",-,-,-,-,-,-,-,-,-,-,-
Feb 21,Albany State,"W, 7-4",0,0,0,-,-,-,0,-,-,-,-
Feb 23,Armstrong, ,-,-,-,-,-,-,-,-,-,-,-
Feb 24,Armstrong,"L, 6-3",-,-,-,-,-,-,-,-,-,-,-
Feb 24,Armstrong,"W, 9-0",-,-,-,-,-,-,-,-,-,-,-
Feb 27,at Auburn Montgomery,"L, 14-7",0,0,0,-,-,-,0,-,-,-,-
Mar 2,Francis Marion University,"L, 8-4",-,-,-,-,-,-,-,-,-,-,-
Mar 2,Francis Marion University,"L, 15-2",-,-,-,-,-,-,-,-,-,-,-
Mar 3,Francis Marion University,"L, 11-3",0,0,0,-,-,-,0,-,-,-,-
Mar 6,Valdosta State,"W, 8-6",0,0,0,-,-,-,0,-,-,-,-
Mar 8,at Georgia College,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Mar 9,at Georgia College,"L, 8-3",0,0,0,-,-,-,0,-,-,-,-
Mar 9,at Georgia College,"L, 5-2",-,-,-,-,-,-,-,-,-,-,-
Mar 12,at Valdosta State,"L, 12-4",-,-,-,-,-,-,-,-,-,-,-
Mar 14,at Albany State,"W, 7-2",0,0,0,-,-,-,0,-,-,-,-
Mar 16,UNC Pembroke,"L, 9-1",-,-,-,-,-,-,-,-,-,-,-
Mar 16,UNC Pembroke,"L, 5-2",-,-,-,-,-,-,-,-,-,-,-
Mar 17,UNC Pembroke,"L, 7-3",0,0,0,-,-,-,0,-,-,-,-
Mar 19,Stillman College,"W, 8-7",-,-,-,-,-,-,-,-,-,-,-
Mar 20,Stillman College,"W, 5-2",-,-,-,-,-,-,-,-,-,-,-
Mar 23,at Florida Tech,"L, 4-3",0,0,0,-,-,-,0,-,-,-,-
Mar 23,at Florida Tech,"W, 7-5",-,-,-,-,-,-,-,-,-,-,-
Mar 27,West Georgia,"W, 17-3",-,-,-,-,-,-,-,-,-,-,-
Mar 29,at Lander University,"L, 1-0",-,-,-,-,-,-,-,-,-,-,-
Mar 30,at Lander University,"W, 3-2",0,0,0,-,-,-,0,-,-,-,-
Mar 30,at Lander University,"L, 13-3",-,-,-,-,-,-,-,-,-,-,-
Apr 3,Auburn Montgomery, ,-,-,-,-,-,-,-,-,-,-,-
Apr 5,at Columbus State,"L, 10-6",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Columbus State,"L, 15-11",0,0,0,-,-,-,0,-,-,-,-
Apr 6,at Columbus State,"L, 7-3",-,-,-,-,-,-,-,-,-,-,-
Apr 13,Young Harris College,"W, 5-1",-,-,-,-,-,-,-,-,-,-,-
Apr 13,Young Harris College,"W, 8-5",-,-,-,-,-,-,-,-,-,-,-
Apr 14,Young Harris College, ,-,-,-,-,-,-,-,-,-,-,-
Apr 17,at West Georgia,"L, 8-7",0,0,0,-,-,-,0,-,-,-,-
Apr 21,at Flagler College,"L, 10-8",-,-,-,-,-,-,-,-,-,-,-
Apr 21,at Flagler College,"L, 8-7",0,0,0,-,-,-,0,-,-,-,-
Apr 23,at Shorter University,"W, 6-4",-,-,-,-,-,-,-,-,-,-,-
Apr 26,USC Aiken,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Apr 26,USC Aiken,"L, 4-3",-,-,-,-,-,-,-,-,-,-,-
Apr 27,USC Aiken,"L, 5-2",0,0,0,-,-,-,0,-,-,-,-
