H,G,Team,SO
5,5,FRI,4
15,24,MID,11
54,63,WIC,25
26,24,CC,14
82,93,FRI,95
141,123,ARK,105
0,3,SPR,2
67,83,TUL,66
3,5,WIC,4
1,3,TUL,0
0,12,CC,0
35,60,CC,33
0,2,CC,0
10,15,SA,4
4,3,FRI,1
93,91,FRI,56
32,50,WIC,40
57,60,ARK,37
123,112,CC,36
1,4,CC,1
0,10,SPR,1
22,32,SPR,7
43,28,MID,23
31,45,CC,34
32,27,CC,6
1,19,TUL,2
27,25,FRI,8
114,107,SA,66
28,39,FRI,22
64,50,MID,39
33,42,SA,28
118,129,SPR,98
89,96,FRI,93
27,24,MID,9
1,8,SPR,3
25,35,ARK,46
0,3,TUL,1
41,55,FRI,43
0,17,TUL,0
39,74,CC,28
72,92,TUL,60
2,5,SPR,6
166,138,WIC,96
73,93,ARK,81
11,12,MID,12
46,42,FRI,32
103,110,SA,91
13,10,SPR,6
148,137,WIC,112
0,1,CC,1
123,97,CC,44
1,4,SA,4
1,1,CC,0
26,39,CC,43
0,2,SPR,0
124,111,SPR,81
52,49,FRI,24
100,110,FRI,85
27,31,SA,22
79,96,SPR,79
82,85,SPR,80
141,126,MID,109
0,3,SPR,2
173,130,CC,73
32,42,SA,33
1,11,TUL,4
131,118,ARK,103
0,6,CC,0
116,109,TUL,99
0,6,CC,0
118,95,WIC,64
0,1,WIC,0
11,16,TUL,13
66,100,MID,70
138,121,SPR,114
1,15,SPR,2
67,59,FRI,25
140,136,MID,98
18,23,SPR,7
0,4,SPR,0
57,48,FRI,36
4,4,WIC,5
102,121,SA,140
57,65,SPR,52
142,132,TUL,134
132,120,FRI,85
105,115,SA,74
23,18,ARK,18
109,118,MID,95
50,44,TUL,26
0,2,CC,0
114,120,SPR,59
33,59,CC,28
94,121,FRI,112
0,1,MID,0
0,1,MID,0
2,2,MID,0
125,118,ARK,149
17,15,SA,8
104,85,MID,53
65,54,FRI,47
0,4,TUL,0
8,21,MID,5
124,120,TUL,103
39,63,SPR,60
70,65,SA,58
0,11,TUL,0
22,32,CC,15
38,26,ARK,13
2,3,SA,3
2,3,WIC,1
0,1,SPR,0
0,3,CC,3
