G,RBI,BB,AB,SO,H
2,0,0,0,0,0
4,0,0,0,0,0
7,0,0,15,13,0
104,61,46,423,71,123
73,31,48,220,27,67
45,17,22,170,25,52
3,2,0,12,1,2
118,51,58,397,54,119
96,46,24,340,79,79
25,6,8,97,9,22
48,15,31,185,36,57
3,1,0,10,1,4
48,25,39,151,45,31
58,20,30,251,58,77
1,0,0,1,0,0
13,0,0,0,0,0
2,1,0,8,1,3
4,4,1,15,5,4
8,0,0,0,0,0
24,14,19,87,9,27
15,2,2,46,4,10
65,33,30,242,58,70
95,60,12,346,44,96
120,103,55,452,85,132
95,78,24,384,64,118
4,0,0,0,0,0
7,4,2,30,3,4
15,10,7,59,8,17
7,1,3,20,4,3
23,4,11,58,7,18
17,0,0,0,0,0
33,14,20,92,17,23
16,5,7,44,13,11
78,29,25,269,48,66
6,0,2,8,5,0
1,0,0,0,0,0
45,18,6,163,54,40
8,1,1,13,3,3
2,0,0,0,0,0
109,62,38,392,99,116
12,0,0,0,0,0
133,57,44,542,63,153
11,0,0,0,0,0
76,32,19,281,82,76
54,29,25,208,47,65
27,7,11,83,13,19
27,4,10,78,20,17
3,0,0,3,3,0
4,0,1,5,2,0
62,10,20,216,64,40
94,45,19,366,65,91
110,29,65,416,91,103
3,0,0,2,1,0
9,3,3,28,2,5
3,0,0,8,3,2
28,17,12,107,23,43
92,35,15,310,60,72
121,82,70,444,140,102
136,73,68,500,98,140
138,92,41,543,96,166
2,1,0,4,1,1
24,6,4,79,14,26
15,0,0,4,2,1
15,0,3,37,6,5
112,28,25,392,36,123
1,1,0,3,0,3
67,43,28,249,85,61
6,0,0,1,0,0
1,0,0,1,0,1
21,7,6,31,5,8
27,6,16,103,6,32
103,53,33,374,47,107
