Date,TOV%,GmSc,Opp,BLK%,TRB%,eFG%,STL%
1995-03-02, ,-0.2,MIL,0.0,17.1, ,0.0
1994-11-29,0.0,7.5,CHH,0.0,16.5,.625,0.0
1994-12-02,0.0,4.8,CHI,0.0,13.6,.500,2.7
1994-12-27,0.0,-1.4,HOU,0.0,6.8,.167,0.0
1994-11-09,0.0,-0.4,PHO,0.0,0.0,.000,0.0
1994-11-15,32.6,12.5,BOS,7.2,18.1,.875,4.6
1995-02-23,100.0,-0.4,DAL,0.0,0.0, ,10.8
1994-12-10,11.1,1.7,ORL,6.5,8.7,.375,0.0
1995-02-17,0.0,2.6,DAL,7.8,6.5,.500,6.1
1994-12-22,0.0,7.2,UTA,3.3,8.8,.833,5.0
1995-01-30,0.0,2.0,MIA,0.0,12.5,.333,0.0
1994-11-18,0.0,5.4,MIL,4.9,11.5,.286,3.3
1995-02-06,0.0,6.4,PHI,16.6,13.9,1.000,5.6
1995-01-25,0.0,-2.2,CHH,0.0,9.8,.000,0.0
1994-12-30,25.0,1.4,CLE,12.2,8.6,.333,4.4
1994-11-19,0.0,3.4,NYK,0.0,4.4,.600,4.5
1994-11-10,0.0,-1.4,LAC,3.7,3.7,.000,0.0
1995-03-05,50.0,-1.0,ORL,4.3,10.1,.000,0.0
1994-11-07,0.0,10.1,UTA,5.6,10.8,.500,3.0
1995-02-27, ,0.2,SAC,0.0,0.0, ,6.1
