GS,TRB%,Date,STL%,Age
0,0.0,1987-02-12,7.6,25-109
0,0.0,1987-04-11,3.3,25-167
0,6.5,1987-02-25,6.0,25-122
0,0.0,1987-02-10,0.0,25-107
0,0.0,1987-04-18,8.6,25-174
0,0.0,1986-12-20,6.0,25-055
0,6.3,1987-04-16,0.0,25-172
0,14.6,1987-03-07,4.2,25-132
0,0.0,1987-04-13,3.2,25-169
0,17.3,1987-04-14,0.0,25-170
0,8.0,1987-01-04,0.0,25-070
0,8.5,1987-01-27,1.6,25-093
0,11.9,1987-03-19,0.0,25-144
0,0.0,1987-02-28,0.0,25-125
0,4.7,1987-01-13,0.0,25-079
0,2.3,1987-01-09,14.7,25-075
0,7.5,1987-02-24,6.8,25-121
0,8.9,1987-02-14,0.0,25-111
0,0.0,1987-03-10,3.5,25-135
0,5.2,1987-01-06,0.0,25-072
0,8.4,1986-12-29,0.0,25-064
0,3.5,1987-04-08,2.9,25-164
0,4.1,1987-01-17,6.6,25-083
0,9.2,1987-01-12,1.9,25-078
0,6.2,1987-01-15,0.0,25-081
0,9.1,1987-03-21,0.0,25-146
0,9.2,1987-03-04,0.0,25-129
0,2.7,1987-04-04,0.0,25-160
0,13.6,1987-02-22,12.8,25-119
