TOV%,DRtg,Opp,TS%,ORtg,Tm
0.0,110,ATL,.253,83,MIN
0.0,130,TOR,.500,138,MIN
33.3,100,SEA,1.000,127,MIN
25.0,104,ORL,.333,51,BOS
0.0,100,MEM,.636,137,MIN
0.0,122,CLE,.444,110,BOS
25.0,119,TOR,.667,94,MIN
0.0,112,GSW,.926,190,MIN
 ,130,DAL, , ,BOS
31.7,114,GSW,.465,71,MIN
22.2,116,SAS,.143,38,MIN
 ,108,PHI, , ,BOS
25.0,91,SAC,.500,85,MIN
33.3,99,NOK,.000,0,BOS
29.6,112,CHA,.735,106,BOS
0.0,123,SAS,.000,0,BOS
15.1,108,HOU,.355,70,BOS
0.0,104,CLE,1.000,203,MIN
50.0,120,DET,1.000,77,MIN
0.0,106,ORL,.000,0,MIN
0.0,116,POR,.205,48,MIN
0.0,117,SAS,.521,114,MIN
 ,116,ATL, , ,BOS
0.0,137,ATL,.500,99,BOS
0.0,103,HOU,.388,105,MIN
0.0,116,LAC,.347,86,MIN
0.0,98,HOU,.205,77,MIN
0.0,123,DEN,.517,110,BOS
13.1,97,BOS,.678,131,MIN
 ,116,DET, , ,BOS
0.0,117,CHI,.347,76,MIN
25.0,123,DEN,.333,54,MIN
0.0,104,NYK,.763,161,MIN
0.0,106,NJN,.651,142,MIN
0.0,104,NYK,.000,0,BOS
 ,133,SEA, , ,BOS
