MP,Date,Tm,DRB%
8:00,1985-12-11,SEA,14.6
18:00,1986-03-26,SEA,0.0
13:00,1986-01-18,SEA,22.6
23:00,1986-01-15,SEA,6.1
10:00,1986-02-02,SEA,0.0
4:00,1985-11-26,SEA,0.0
5:00,1985-10-26,SEA,22.9
13:00,1986-02-04,SEA,13.6
8:00,1986-01-06,SEA,57.1
2:00,1985-12-13,SEA,0.0
7:00,1986-01-28,SEA,0.0
13:00,1986-02-17,SEA,0.0
33:00,1986-04-10,SEA,26.4
29:00,1985-12-03,SEA,4.0
31:00,1986-03-03,SEA,11.3
11:00,1985-11-20,SEA,24.2
19:00,1986-02-21,SEA,12.0
2:00,1986-03-09,SEA,0.0
19:00,1986-04-02,SEA,8.1
5:00,1986-01-25,SEA,0.0
16:00,1986-04-05,SEA,13.6
6:00,1986-02-22,SEA,0.0
2:00,1986-02-06,SEA,60.0
24:00,1986-03-13,SEA,0.0
2:00,1985-11-12,SEA,0.0
13:00,1985-11-15,SEA,0.0
22:00,1986-01-11,SEA,10.4
16:00,1986-03-27,SEA,0.0
8:00,1986-01-03,SEA,13.3
13:00,1986-02-25,SEA,0.0
20:00,1985-12-17,SEA,24.6
1:00,1985-11-08,SEA,0.0
12:00,1986-03-21,SEA,0.0
1:00,1985-12-28,SEA,0.0
