Rk,AST%,Age,G,TRB%,TS%
37,6.7,35-178,37,0.0,.546
4,38.5,35-061,4,2.5,.250
48,16.6,35-208,48,6.4,.315
25,15.9,35-104,25,0.0,.000
15,38.7,35-082,15,2.0,.333
11,13.9,35-075,11,2.8,.399
13,8.2,35-079,13,0.0,1.000
27,21.7,35-109,27,2.3,.500
9,33.7,35-070,9,2.7,.500
38,5.0,35-180,38,5.9,.709
39,8.7,35-181,39,15.1,.250
18,24.5,35-088,18,3.3,.500
16,26.5,35-083,16,1.6,.667
10,30.8,35-073,10,6.6,.500
52,35.9,35-216,52,6.7,.500
19,12.4,35-090,19,5.1,.512
49,31.0,35-209,49,2.5,.500
33,25.7,35-167,33,9.5,.333
42,0.0,35-187,42,6.6,1.000
43,17.2,35-190,43,11.4,.600
21,16.7,35-095,21,0.0,.250
35,16.1,35-173,35,7.4,.333
