STL%,USG%,DRtg,BLK%,TS%,ORtg,ORB%,Age,MP
0.0,12.8,97,2.7,.255,81,17.5,23-232,25:00
0.0,8.1,100,0.0,.000,73,22.9,23-246,6:00
0.0,22.1,80,0.0,.347,74,14.6,23-295,7:00
0.0,0.0,104,0.0, , ,0.0,23-272,1:00
0.0,15.3,109,0.0,.500,123,17.0,23-244,6:00
0.0,15.0,98,0.0,1.000,102,19.2,23-229,18:00
0.0,9.7,96,3.3,.667,113,13.0,23-279,23:00
0.0,9.2,102,4.5,.750,171,11.3,23-282,18:00
0.0,12.8,124,0.0,.694,110,11.6,23-219,23:00
0.0,13.3,104,0.0,1.000,211,35.3,24-008,4:00
0.0,49.5,93,0.0,.000,0,0.0,23-330,5:00
0.0,30.1,116,4.2,.727,108,26.5,23-252,16:00
0.0,20.0,106,0.0,.608,147,10.8,23-267,12:00
0.0,11.3,124,0.0, ,0,0.0,23-260,4:00
0.0,16.4,121,0.0,.410,85,14.9,23-285,15:00
2.6,9.5,97,0.0,.579,148,16.4,23-211,20:00
0.0,9.6,115,0.0,.500,138,12.0,23-234,19:00
0.0,13.0,107,0.0,.512,144,16.2,23-225,16:00
0.0,0.0,111,0.0, , ,0.0,23-362,2:00
0.0,11.9,102,0.0,1.000,44,8.6,23-275,14:00
0.0,24.5,90,0.0,.532,83,8.1,23-357,16:00
0.0,33.4,97,0.0,.347,100,38.4,23-292,5:00
0.0,0.0,114,0.0, , ,0.0,23-327,1:00
18.6,31.6,52,0.0,.000,56,50.0,23-301,3:00
0.0,19.3,104,0.0,.200,50,12.8,23-222,15:00
